zone,tech,year,unit,value
bus1,BLCP-T,2023,MW,0.0
bus1,BPK-C1,2023,MW,0.0
bus1,BPK-C5,2023,MW,0.0
bus1,BPK-T,2023,MW,0.0
bus1,CHN-C1,2023,MW,0.0
bus1,CHN-C2,2023,MW,0.0
bus1,EPEC-C,2023,MW,0.0
bus1,GLOW-C,2023,MW,0.0
bus1,GNS-C,2023,MW,0.0
bus1,GOC-T,2023,MW,0.0
bus1,GPD-C1,2023,MW,0.0
bus1,GPD-C2,2023,MW,0.0
bus1,GPG-C,2023,MW,0.0
bus1,GPS-C,2023,MW,0.0
bus1,GSRC-C,2023,MW,0.0
bus1,GSRC-C1,2023,MW,0.0
bus1,GSRC-C2,2023,MW,0.0
bus1,GSRC-C3,2023,MW,0.0
bus1,GSRC-C4,2023,MW,0.0
bus1,GUT-C,2023,MW,0.0
bus1,KA-T,2023,MW,0.0
bus1,KN-C2,2023,MW,0.0
bus1,KPG-C,2023,MW,0.0
bus1,MM-T14,2023,MW,0.0
bus1,MM-T8-13,2023,MW,0.0
bus1,NB-C1,2023,MW,0.0
bus1,NB-C2,2023,MW,0.0
bus1,NPO-C,2023,MW,0.0
bus1,RB-C,2023,MW,0.0
bus1,RB-T,2023,MW,0.0
bus1,RPCL-C,2023,MW,0.0
bus1,SB-C3,2023,MW,0.0
bus1,SB-C4,2023,MW,0.0
bus1,WN-C3,2023,MW,0.0
bus1,WN-C4,2023,MW,0.0
bus1,GlowE,2023,MW,0.0
bus1,GlowE1,2023,MW,0.0
bus1,PTTGC,2023,MW,0.0
bus1,B.GrimmP,2023,MW,0.0
bus1,AmataBP1,2023,MW,0.0
bus1,B.GrimmP1,2023,MW,0.0
bus1,BangkokC,2023,MW,0.0
bus1,NationalPS,2023,MW,0.0
bus1,GlowS2,2023,MW,0.0
bus1,Sahacogen,2023,MW,0.0
bus1,GlowS21,2023,MW,0.0
bus1,RojanaP,2023,MW,0.0
bus1,NationalPS1,2023,MW,0.0
bus1,GlowS3,2023,MW,0.0
bus1,GlowS31,2023,MW,0.0
bus1,GlowS1,2023,MW,0.0
bus1,B.GrimmP11,2023,MW,0.0
bus1,AmataBP2,2023,MW,0.0
bus1,EGCOC,2023,MW,0.0
bus1,SiamPG,2023,MW,0.0
bus1,GlowE2,2023,MW,0.0
bus1,AmataBP3,2023,MW,0.0
bus1,GlowS11,2023,MW,0.0
bus1,GulfJK1,2023,MW,0.0
bus1,GulfJK2,2023,MW,0.0
bus1,GulfJT,2023,MW,0.0
bus1,GulfJN,2023,MW,0.0
bus1,GulfJN1,2023,MW,0.0
bus1,AmataBP21,2023,MW,0.0
bus1,BangPC,2023,MW,0.0
bus1,GulfJC,2023,MW,0.0
bus1,GulfJN2,2023,MW,0.0
bus1,RojanaP1,2023,MW,0.0
bus1,RATCHC,2023,MW,0.0
bus1,AmataBP11,2023,MW,0.0
bus1,RatchaburiWC,2023,MW,0.0
bus1,RatchaburiWC1,2023,MW,0.0
bus1,B.GrimmBP1,2023,MW,0.0
bus1,AmataBP4,2023,MW,0.0
bus1,B.GrimmBP2,2023,MW,0.0
bus1,PPTC,2023,MW,0.0
bus1,TopS,2023,MW,0.0
bus1,B.GrimmP12,2023,MW,0.0
bus1,TopS1,2023,MW,0.0
bus1,NavanakornEG,2023,MW,0.0
bus1,AmataBP5,2023,MW,0.0
bus1,B.GrimmP13,2023,MW,0.0
bus1,SSUT,2023,MW,0.0
bus1,SSUT1,2023,MW,0.0
bus1,AdvanceAA,2023,MW,0.0
bus1,GulfV,2023,MW,0.0
bus1,RojanaP2,2023,MW,0.0
bus1,BangPC1,2023,MW,0.0
bus1,GulfT,2023,MW,0.0
bus1,KlongLU,2023,MW,0.0
bus1,GulfT1,2023,MW,0.0
bus1,BanPU,2023,MW,0.0
bus1,BanPU1,2023,MW,0.0
bus1,GulfT2,2023,MW,0.0
bus1,IRPCCP,2023,MW,0.0
bus1,IRPCCP1,2023,MW,0.0
bus1,GulfT3,2023,MW,0.0
bus1,GulfN,2023,MW,0.0
bus1,AmataBP31,2023,MW,0.0
bus1,AmataBP41,2023,MW,0.0
bus1,AmataBP51,2023,MW,0.0
bus1,GulfB,2023,MW,0.0
bus1,GulfB1,2023,MW,0.0
bus1,GulfN2,2023,MW,0.0
bus1,GulfN1,2023,MW,0.0
bus1,GulfN3,2023,MW,0.0
bus1,BerkpraiC,2023,MW,0.0
bus1,GulfN4,2023,MW,0.0
bus1,NextsifRER,2023,MW,0.0
bus1,NationalPP3,2023,MW,0.0
bus1,BMPE,2023,MW,0.0
bus1,RoiEG,2023,MW,0.0
bus1,NationalPP5,2023,MW,0.0
bus1,NationalPP51,2023,MW,0.0
bus1,MitrPB,2023,MW,0.0
bus1,MitrPBP,2023,MW,0.0
bus1,A.T.B,2023,MW,0.0
bus1,GulfYG,2023,MW,0.0
bus1,KhonKSPP,2023,MW,0.0
bus1,MungCGP,2023,MW,0.0
bus1,SuratTGE,2023,MW,0.0
bus1,MitrPB1,2023,MW,0.0
bus1,MitrPBP1,2023,MW,0.0
bus1,MungCB,2023,MW,0.0
bus1,KhonburiEG,2023,MW,0.0
bus1,BuayaiBP,2023,MW,0.0
bus1,UthongGP,2023,MW,0.0
bus1,MitrPB2,2023,MW,0.0
bus1,MitrPB11,2023,MW,0.0
bus1,ThippichitHE,2023,MW,0.0
bus1,AbsoluteCEAS,2023,MW,0.0
bus1,SurinE,2023,MW,0.0
bus1,KoratI,2023,MW,0.0
bus1,ThipsukhothaiHE,2023,MW,0.0
bus1,IRPC,2023,MW,0.0
bus1,PanchaponPI,2023,MW,0.0
bus1,ElectricityACWP,2023,MW,0.0
bus1,GlobalPS,2023,MW,0.0
bus1,GlobalPS1,2023,MW,0.0
bus1,PTTGC1,2023,MW,0.0
bus1,RayongS,2023,MW,0.0
bus1,GGCCB,2023,MW,0.0
bus1,MitrPB21,2023,MW,0.0
bus1,ChaimongkolRS,2023,MW,0.0
bus1,SaraburiS,2023,MW,0.0
bus1,ThaiRRI,2023,MW,0.0
bus1,AngwianI,2023,MW,0.0
bus1,BirlaC,2023,MW,0.0
bus1,UACE,2023,MW,0.0
bus1,KhonKSPP1,2023,MW,0.0
bus1,MitrPB3,2023,MW,0.0
bus1,MitrPB4,2023,MW,0.0
