tech,year,unit,value
BLCP-T,2023,tonneCO2/MWh,0.9
BPK-C1,2023,tonneCO2/MWh,0.4
BPK-C5,2023,tonneCO2/MWh,0.4
BPK-T,2023,tonneCO2/MWh,0.4
CHN-C1,2023,tonneCO2/MWh,0.4
CHN-C2,2023,tonneCO2/MWh,0.4
EPEC-C,2023,tonneCO2/MWh,0.4
GLOW-C,2023,tonneCO2/MWh,0.4
GNS-C,2023,tonneCO2/MWh,0.4
GOC-T,2023,tonneCO2/MWh,0.9
GPD-C1,2023,tonneCO2/MWh,0.4
GPD-C2,2023,tonneCO2/MWh,0.4
GPG-C,2023,tonneCO2/MWh,0.4
GPS-C,2023,tonneCO2/MWh,0.4
GSRC-C,2023,tonneCO2/MWh,0.4
GSRC-C1,2023,tonneCO2/MWh,0.4
GSRC-C2,2023,tonneCO2/MWh,0.4
GSRC-C3,2023,tonneCO2/MWh,0.4
GSRC-C4,2023,tonneCO2/MWh,0.4
GUT-C,2023,tonneCO2/MWh,0.4
KA-T,2023,tonneCO2/MWh,0.7
KN-C2,2023,tonneCO2/MWh,0.4
KPG-C,2023,tonneCO2/MWh,0.4
MM-T14,2023,tonneCO2/MWh,0.9
MM-T8-13,2023,tonneCO2/MWh,0.9
NB-C1,2023,tonneCO2/MWh,0.4
NB-C2,2023,tonneCO2/MWh,0.4
NPO-C,2023,tonneCO2/MWh,0.4
RB-C,2023,tonneCO2/MWh,0.4
RB-T,2023,tonneCO2/MWh,0.4
RPCL-C,2023,tonneCO2/MWh,0.4
SB-C3,2023,tonneCO2/MWh,0.4
SB-C4,2023,tonneCO2/MWh,0.4
WN-C3,2023,tonneCO2/MWh,0.4
WN-C4,2023,tonneCO2/MWh,0.4
GlowE,2023,tonneCO2/MWh,0.4
GlowE1,2023,tonneCO2/MWh,0.4
PTTGC,2023,tonneCO2/MWh,0.4
B.GrimmP,2023,tonneCO2/MWh,0.4
AmataBP1,2023,tonneCO2/MWh,0.4
B.GrimmP1,2023,tonneCO2/MWh,0.4
BangkokC,2023,tonneCO2/MWh,0.4
