tech,zone,commission_year,unit,capacity
BLCP-T,bus69,2023,MW,1347.0
BPK-C1,bus328,2023,MW,1386.0
BPK-C5,bus328,2023,MW,710.0
BPK-T,bus328,2023,MW,1152.0
CHN-C1,bus40,2023,MW,710.0
CHN-C2,bus40,2023,MW,766.0
EPEC-C,bus314,2023,MW,350.0
GLOW-C,bus65,2023,MW,713.0
GNS-C,bus244,2023,MW,1600.0
GOC-T,bus65,2023,MW,660.0
GPD-C1,bus63,2023,MW,625.0
GPD-C2,bus63,2023,MW,625.0
GPG-C,bus352,2023,MW,1468.0
GPS-C,bus75,2023,MW,700.0
GSRC-C,bus62,2023,MW,2500.0
GSRC-C1,bus62,2023,MW,625.0
GSRC-C2,bus62,2023,MW,625.0
GSRC-C3,bus62,2023,MW,625.0
GSRC-C4,bus62,2023,MW,625.0
GUT-C,bus254,2023,MW,1600.0
KA-T,bus12,2023,MW,315.0
KN-C2,bus22,2023,MW,930.0
KPG-C,bus346,2023,MW,1468.0
MM-T14,bus160,2023,MW,600.0
MM-T8-13,bus160,2023,MW,1620.0
NB-C1,bus294,2023,MW,670.0
NB-C2,bus294,2023,MW,828.0
NPO-C,bus385,2023,MW,650.0
RB-C,bus105,2023,MW,2041.0
RB-T,bus105,2023,MW,1440.0
RPCL-C,bus105,2023,MW,1440.0
SB-C3,bus304,2023,MW,710.0
SB-C4,bus304,2023,MW,1220.0
WN-C3,bus248,2023,MW,686.0
WN-C4,bus248,2023,MW,750.0
GlowE,bus65,2023,MW,30.0
GlowE1,bus65,2023,MW,30.0
PTTGC,bus64,2023,MW,30.0
B.GrimmP,bus64,2023,MW,30.0
AmataBP1,bus322,2023,MW,30.0
B.GrimmP1,bus65,2023,MW,30.0
BangkokC,bus64,2023,MW,30.0
NationalPS,bus362,2023,MW,90.0
GlowS2,bus65,2023,MW,60.0
Sahacogen,bus315,2023,MW,90.0
GlowS21,bus65,2023,MW,60.0
RojanaP,bus254,2023,MW,90.0
NationalPS1,bus362,2023,MW,90.0
GlowS3,bus65,2023,MW,90.0
GlowS31,bus65,2023,MW,90.0
