tech,year,unit,value
BLCP-T,2023,dollar/MWh,0
BPK-C1,2023,dollar/MWh,0
BPK-C5,2023,dollar/MWh,0
BPK-T,2023,dollar/MWh,0
CHN-C1,2023,dollar/MWh,0
CHN-C2,2023,dollar/MWh,0
EPEC-C,2023,dollar/MWh,0
GLOW-C,2023,dollar/MWh,0
GNS-C,2023,dollar/MWh,0
GOC-T,2023,dollar/MWh,0
GPD-C1,2023,dollar/MWh,0
GPD-C2,2023,dollar/MWh,0
GPG-C,2023,dollar/MWh,0
GPS-C,2023,dollar/MWh,0
GSRC-C,2023,dollar/MWh,0
GSRC-C1,2023,dollar/MWh,0
GSRC-C2,2023,dollar/MWh,0
GSRC-C3,2023,dollar/MWh,0
GSRC-C4,2023,dollar/MWh,0
GUT-C,2023,dollar/MWh,0
KA-T,2023,dollar/MWh,0
KN-C2,2023,dollar/MWh,0
KPG-C,2023,dollar/MWh,0
MM-T14,2023,dollar/MWh,0
MM-T8-13,2023,dollar/MWh,0
NB-C1,2023,dollar/MWh,0
NB-C2,2023,dollar/MWh,0
NPO-C,2023,dollar/MWh,0
RB-C,2023,dollar/MWh,0
RB-T,2023,dollar/MWh,0
RPCL-C,2023,dollar/MWh,0
SB-C3,2023,dollar/MWh,0
SB-C4,2023,dollar/MWh,0
WN-C3,2023,dollar/MWh,0
WN-C4,2023,dollar/MWh,0
GlowE,2023,dollar/MWh,0
GlowE1,2023,dollar/MWh,0
PTTGC,2023,dollar/MWh,0
B.GrimmP,2023,dollar/MWh,0
AmataBP1,2023,dollar/MWh,0
B.GrimmP1,2023,dollar/MWh,0
BangkokC,2023,dollar/MWh,0
NationalPS,2023,dollar/MWh,0
GlowS2,2023,dollar/MWh,0
Sahacogen,2023,dollar/MWh,0
GlowS21,2023,dollar/MWh,0
RojanaP,2023,dollar/MWh,0
NationalPS1,2023,dollar/MWh,0
GlowS3,2023,dollar/MWh,0
GlowS31,2023,dollar/MWh,0
GlowS1,2023,dollar/MWh,0
B.GrimmP11,2023,dollar/MWh,0
AmataBP2,2023,dollar/MWh,0
EGCOC,2023,dollar/MWh,0
SiamPG,2023,dollar/MWh,0
GlowE2,2023,dollar/MWh,0
AmataBP3,2023,dollar/MWh,0
GlowS11,2023,dollar/MWh,0
GulfJK1,2023,dollar/MWh,0
GulfJK2,2023,dollar/MWh,0
GulfJT,2023,dollar/MWh,0
GulfJN,2023,dollar/MWh,0
GulfJN1,2023,dollar/MWh,0
AmataBP21,2023,dollar/MWh,0
BangPC,2023,dollar/MWh,0
GulfJC,2023,dollar/MWh,0
GulfJN2,2023,dollar/MWh,0
RojanaP1,2023,dollar/MWh,0
RATCHC,2023,dollar/MWh,0
AmataBP11,2023,dollar/MWh,0
RatchaburiWC,2023,dollar/MWh,0
RatchaburiWC1,2023,dollar/MWh,0
B.GrimmBP1,2023,dollar/MWh,0
AmataBP4,2023,dollar/MWh,0
B.GrimmBP2,2023,dollar/MWh,0
PPTC,2023,dollar/MWh,0
TopS,2023,dollar/MWh,0
B.GrimmP12,2023,dollar/MWh,0
TopS1,2023,dollar/MWh,0
NavanakornEG,2023,dollar/MWh,0
AmataBP5,2023,dollar/MWh,0
B.GrimmP13,2023,dollar/MWh,0
SSUT,2023,dollar/MWh,0
SSUT1,2023,dollar/MWh,0
AdvanceAA,2023,dollar/MWh,0
GulfV,2023,dollar/MWh,0
RojanaP2,2023,dollar/MWh,0
BangPC1,2023,dollar/MWh,0
GulfT,2023,dollar/MWh,0
KlongLU,2023,dollar/MWh,0
GulfT1,2023,dollar/MWh,0
BanPU,2023,dollar/MWh,0
BanPU1,2023,dollar/MWh,0
GulfT2,2023,dollar/MWh,0
IRPCCP,2023,dollar/MWh,0
IRPCCP1,2023,dollar/MWh,0
GulfT3,2023,dollar/MWh,0
GulfN,2023,dollar/MWh,0
AmataBP31,2023,dollar/MWh,0
AmataBP41,2023,dollar/MWh,0
AmataBP51,2023,dollar/MWh,0
GulfB,2023,dollar/MWh,0
GulfB1,2023,dollar/MWh,0
GulfN2,2023,dollar/MWh,0
GulfN1,2023,dollar/MWh,0
GulfN3,2023,dollar/MWh,0
BerkpraiC,2023,dollar/MWh,0
GulfN4,2023,dollar/MWh,0
NextsifRER,2023,dollar/MWh,0
NationalPP3,2023,dollar/MWh,0
BMPE,2023,dollar/MWh,0
RoiEG,2023,dollar/MWh,0
NationalPP5,2023,dollar/MWh,0
NationalPP51,2023,dollar/MWh,0
MitrPB,2023,dollar/MWh,0
MitrPBP,2023,dollar/MWh,0
