tech,year,unit,value
BLCP-T,2023,years,100
BPK-C1,2023,years,100
BPK-C5,2023,years,100
BPK-T,2023,years,100
CHN-C1,2023,years,100
CHN-C2,2023,years,100
EPEC-C,2023,years,100
GLOW-C,2023,years,100
GNS-C,2023,years,100
GOC-T,2023,years,100
GPD-C1,2023,years,100
GPD-C2,2023,years,100
GPG-C,2023,years,100
GPS-C,2023,years,100
GSRC-C,2023,years,100
GSRC-C1,2023,years,100
GSRC-C2,2023,years,100
GSRC-C3,2023,years,100
GSRC-C4,2023,years,100
GUT-C,2023,years,100
KA-T,2023,years,100
KN-C2,2023,years,100
KPG-C,2023,years,100
MM-T14,2023,years,100
MM-T8-13,2023,years,100
NB-C1,2023,years,100
NB-C2,2023,years,100
NPO-C,2023,years,100
RB-C,2023,years,100
RB-T,2023,years,100
RPCL-C,2023,years,100
SB-C3,2023,years,100
SB-C4,2023,years,100
WN-C3,2023,years,100
WN-C4,2023,years,100
GlowE,2023,years,100
GlowE1,2023,years,100
PTTGC,2023,years,100
B.GrimmP,2023,years,100
AmataBP1,2023,years,100
B.GrimmP1,2023,years,100
BangkokC,2023,years,100
NationalPS,2023,years,100
GlowS2,2023,years,100
Sahacogen,2023,years,100
GlowS21,2023,years,100
RojanaP,2023,years,100
NationalPS1,2023,years,100
GlowS3,2023,years,100
GlowS31,2023,years,100
GlowS1,2023,years,100
B.GrimmP11,2023,years,100
AmataBP2,2023,years,100
EGCOC,2023,years,100
SiamPG,2023,years,100
GlowE2,2023,years,100
AmataBP3,2023,years,100
GlowS11,2023,years,100
GulfJK1,2023,years,100
GulfJK2,2023,years,100
GulfJT,2023,years,100
GulfJN,2023,years,100
GulfJN1,2023,years,100
AmataBP21,2023,years,100
BangPC,2023,years,100
GulfJC,2023,years,100
GulfJN2,2023,years,100
RojanaP1,2023,years,100
RATCHC,2023,years,100
AmataBP11,2023,years,100
RatchaburiWC,2023,years,100
RatchaburiWC1,2023,years,100
B.GrimmBP1,2023,years,100
AmataBP4,2023,years,100
B.GrimmBP2,2023,years,100
PPTC,2023,years,100
TopS,2023,years,100
B.GrimmP12,2023,years,100
TopS1,2023,years,100
NavanakornEG,2023,years,100
AmataBP5,2023,years,100
B.GrimmP13,2023,years,100
SSUT,2023,years,100
SSUT1,2023,years,100
AdvanceAA,2023,years,100
GulfV,2023,years,100
RojanaP2,2023,years,100
BangPC1,2023,years,100
GulfT,2023,years,100
KlongLU,2023,years,100
GulfT1,2023,years,100
BanPU,2023,years,100
BanPU1,2023,years,100
GulfT2,2023,years,100
IRPCCP,2023,years,100
IRPCCP1,2023,years,100
GulfT3,2023,years,100
GulfN,2023,years,100
AmataBP31,2023,years,100
AmataBP41,2023,years,100
AmataBP51,2023,years,100
GulfB,2023,years,100
GulfB1,2023,years,100
GulfN2,2023,years,100
GulfN1,2023,years,100
GulfN3,2023,years,100
BerkpraiC,2023,years,100
GulfN4,2023,years,100
NextsifRER,2023,years,100
NationalPP3,2023,years,100
BMPE,2023,years,100
RoiEG,2023,years,100
NationalPP5,2023,years,100
NationalPP51,2023,years,100
MitrPB,2023,years,100
MitrPBP,2023,years,100
A.T.B,2023,years,100
GulfYG,2023,years,100
KhonKSPP,2023,years,100
MungCGP,2023,years,100
SuratTGE,2023,years,100
MitrPB1,2023,years,100
MitrPBP1,2023,years,100
MungCB,2023,years,100
KhonburiEG,2023,years,100
BuayaiBP,2023,years,100
UthongGP,2023,years,100
MitrPB2,2023,years,100
MitrPB11,2023,years,100
ThippichitHE,2023,years,100
AbsoluteCEAS,2023,years,100
SurinE,2023,years,100
KoratI,2023,years,100
ThipsukhothaiHE,2023,years,100
IRPC,2023,years,100
PanchaponPI,2023,years,100
ElectricityACWP,2023,years,100
GlobalPS,2023,years,100
GlobalPS1,2023,years,100
PTTGC1,2023,years,100
RayongS,2023,years,100
GGCCB,2023,years,100
MitrPB21,2023,years,100
ChaimongkolRS,2023,years,100
SaraburiS,2023,years,100
ThaiRRI,2023,years,100
AngwianI,2023,years,100
BirlaC,2023,years,100
UACE,2023,years,100
KhonKSPP1,2023,years,100
MitrPB3,2023,years,100
MitrPB4,2023,years,100
KasetTB,2023,years,100
ESE,2023,years,100
UthaiTBE,2023,years,100
TPIPP,2023,years,100
RuamkalamP,2023,years,100
TPIPP1,2023,years,100
ThaiEP,2023,years,100
RuamphonB,2023,years,100
ESE1,2023,years,100
TPIPP2,2023,years,100
MitrPB5,2023,years,100
RuamphonB1,2023,years,100
GulfCG,2023,years,100
PattaniG,2023,years,100
B.GrimAT2,2023,years,100
B.GrimAT3,2023,years,100
SuperSE,2023,years,100
NaturalED,2023,years,100
BCPG,2023,years,100
EASNS,2023,years,100
Sermsangpalang,2023,years,100
EASL,2023,years,100
SPPS,2023,years,100
EASP,2023,years,100
FirstKW,2023,years,100
K.R.Two,2023,years,100
KhaoKWP,2023,years,100
ChaiyaphumWF,2023,years,100
WatabaekW,2023,years,100
Pattanawind,2023,years,100
EAWH3,2023,years,100
EAWH31,2023,years,100
EAWH32,2023,years,100
GreenovationP,2023,years,100
KoratWE,2023,years,100
K.R.S.T,2023,years,100
TropicalW,2023,years,100
TheparakW,2023,years,100
KritsanaWP,2023,years,100
NayangklakD,2023,years,100
NayangklakWP,2023,years,100
K.R.One,2023,years,100
PongnokD,2023,years,100
BencharatP,2023,years,100
Winchai,2023,years,100
BanCD,2023,years,100
h16,2023,years,100
h13,2023,years,100
h9,2023,years,100
h11,2023,years,100
h17,2023,years,100
h14,2023,years,100
h6,2023,years,100
h4,2023,years,100
h2,2023,years,100
h10,2023,years,100
h5,2023,years,100
h1,2023,years,100
h3,2023,years,100
h7,2023,years,100
NTN2,2023,years,100
XYB,2023,years,100
XPXN,2023,years,100
THB,2023,years,100
NNP1,2023,years,100
NNG2,2023,years,100
HHO,2023,years,100
import_Hongsa,2023,years,100
import_ThaKhaek,2023,years,100
import_ThaNaLaeng,2023,years,100
import_PakLay,2023,years,100
import_PakBo,2023,years,100
import_Paksan,2023,years,100
import_PhonThong,2023,years,100
