tech,unit,ramp_down
BLCP-T,fraction,1347
BPK-C1,fraction,1386
BPK-C5,fraction,710
BPK-T,fraction,1152
CHN-C1,fraction,710
CHN-C2,fraction,766
EPEC-C,fraction,350
GLOW-C,fraction,713
GNS-C,fraction,1600
GOC-T,fraction,660
GPD-C1,fraction,625
GPD-C2,fraction,625
GPG-C,fraction,1468
GPS-C,fraction,700
GSRC-C,fraction,2500
GSRC-C1,fraction,625
GSRC-C2,fraction,625
GSRC-C3,fraction,625
GSRC-C4,fraction,625
GUT-C,fraction,1600
KA-T,fraction,315
KN-C2,fraction,930
KPG-C,fraction,1468
MM-T14,fraction,600
MM-T8-13,fraction,1620
NB-C1,fraction,670
NB-C2,fraction,828
NPO-C,fraction,650
RB-C,fraction,2041
RB-T,fraction,1440
RPCL-C,fraction,1440
SB-C3,fraction,710
SB-C4,fraction,1220
WN-C3,fraction,686
WN-C4,fraction,750
GlowE,fraction,30
GlowE1,fraction,30
PTTGC,fraction,30
B.GrimmP,fraction,30
AmataBP1,fraction,30
B.GrimmP1,fraction,30
BangkokC,fraction,30
NationalPS,fraction,90
GlowS2,fraction,60
Sahacogen,fraction,90
GlowS21,fraction,60
RojanaP,fraction,90
NationalPS1,fraction,90
GlowS3,fraction,90
GlowS31,fraction,90
GlowS1,fraction,90
B.GrimmP11,fraction,30
AmataBP2,fraction,30
EGCOC,fraction,60
SiamPG,fraction,90
GlowE2,fraction,74
AmataBP3,fraction,90
GlowS11,fraction,90
GulfJK1,fraction,90
GulfJK2,fraction,90
GulfJT,fraction,90
GulfJN,fraction,90
GulfJN1,fraction,90
AmataBP21,fraction,90
BangPC,fraction,90
GulfJC,fraction,90
GulfJN2,fraction,90
RojanaP1,fraction,90
RATCHC,fraction,90
AmataBP11,fraction,90
RatchaburiWC,fraction,90
RatchaburiWC1,fraction,90
B.GrimmBP1,fraction,90
AmataBP4,fraction,90
B.GrimmBP2,fraction,90
PPTC,fraction,90
TopS,fraction,90
B.GrimmP12,fraction,90
TopS1,fraction,90
NavanakornEG,fraction,90
AmataBP5,fraction,90
B.GrimmP13,fraction,90
SSUT,fraction,90
SSUT1,fraction,90
AdvanceAA,fraction,90
GulfV,fraction,90
RojanaP2,fraction,90
BangPC1,fraction,90
GulfT,fraction,90
KlongLU,fraction,90
GulfT1,fraction,90
BanPU,fraction,90
BanPU1,fraction,90
GulfT2,fraction,90
IRPCCP,fraction,90
IRPCCP1,fraction,90
GulfT3,fraction,90
GulfN,fraction,90
AmataBP31,fraction,90
AmataBP41,fraction,90
AmataBP51,fraction,90
GulfB,fraction,90
GulfB1,fraction,90
GulfN2,fraction,90
GulfN1,fraction,90
GulfN3,fraction,90
BerkpraiC,fraction,90
GulfN4,fraction,90
NextsifRER,fraction,90
NationalPP3,fraction,41
BMPE,fraction,5
RoiEG,fraction,8.8
NationalPP5,fraction,50
NationalPP51,fraction,25
MitrPB,fraction,27
MitrPBP,fraction,29
A.T.B,fraction,20
GulfYG,fraction,20.2
KhonKSPP,fraction,20
MungCGP,fraction,8
SuratTGE,fraction,8.8
MitrPB1,fraction,10.8
MitrPBP1,fraction,10
MungCB,fraction,15.5
KhonburiEG,fraction,22
BuayaiBP,fraction,25
UthongGP,fraction,24
MitrPB2,fraction,21
MitrPB11,fraction,16
ThippichitHE,fraction,21
AbsoluteCEAS,fraction,6.5
SurinE,fraction,11.29
KoratI,fraction,13.84
ThipsukhothaiHE,fraction,13.29
IRPC,fraction,45
PanchaponPI,fraction,8
ElectricityACWP,fraction,65
GlobalPS,fraction,60
