tech,unit,ramp_up
BLCP-T,fraction,1347.0
BPK-C1,fraction,1386.0
BPK-C5,fraction,710.0
BPK-T,fraction,1152.0
CHN-C1,fraction,710.0
CHN-C2,fraction,766.0
EPEC-C,fraction,350.0
GLOW-C,fraction,713.0
GNS-C,fraction,1600.0
GOC-T,fraction,660.0
GPD-C1,fraction,625.0
GPD-C2,fraction,625.0
GPG-C,fraction,1468.0
GPS-C,fraction,700.0
GSRC-C,fraction,2500.0
GSRC-C1,fraction,625.0
GSRC-C2,fraction,625.0
GSRC-C3,fraction,625.0
GSRC-C4,fraction,625.0
GUT-C,fraction,1600.0
KA-T,fraction,315.0
KN-C2,fraction,930.0
KPG-C,fraction,1468.0
MM-T14,fraction,600.0
MM-T8-13,fraction,1620.0
NB-C1,fraction,670.0
NB-C2,fraction,828.0
NPO-C,fraction,650.0
RB-C,fraction,2041.0
RB-T,fraction,1440.0
RPCL-C,fraction,1440.0
SB-C3,fraction,710.0
SB-C4,fraction,1220.0
WN-C3,fraction,686.0
WN-C4,fraction,750.0
GlowE,fraction,30.0
GlowE1,fraction,30.0
PTTGC,fraction,30.0
B.GrimmP,fraction,30.0
AmataBP1,fraction,30.0
B.GrimmP1,fraction,30.0
BangkokC,fraction,30.0
NationalPS,fraction,90.0
GlowS2,fraction,60.0
Sahacogen,fraction,90.0
GlowS21,fraction,60.0
RojanaP,fraction,90.0
NationalPS1,fraction,90.0
GlowS3,fraction,90.0
GlowS31,fraction,90.0
GlowS1,fraction,90.0
B.GrimmP11,fraction,30.0
AmataBP2,fraction,30.0
EGCOC,fraction,60.0
SiamPG,fraction,90.0
GlowE2,fraction,74.0
AmataBP3,fraction,90.0
GlowS11,fraction,90.0
GulfJK1,fraction,90.0
GulfJK2,fraction,90.0
GulfJT,fraction,90.0
GulfJN,fraction,90.0
GulfJN1,fraction,90.0
AmataBP21,fraction,90.0
BangPC,fraction,90.0
GulfJC,fraction,90.0
GulfJN2,fraction,90.0
RojanaP1,fraction,90.0
RATCHC,fraction,90.0
AmataBP11,fraction,90.0
RatchaburiWC,fraction,90.0
RatchaburiWC1,fraction,90.0
B.GrimmBP1,fraction,90.0
AmataBP4,fraction,90.0
B.GrimmBP2,fraction,90.0
PPTC,fraction,90.0
TopS,fraction,90.0
B.GrimmP12,fraction,90.0
TopS1,fraction,90.0
NavanakornEG,fraction,90.0
AmataBP5,fraction,90.0
B.GrimmP13,fraction,90.0
SSUT,fraction,90.0
SSUT1,fraction,90.0
AdvanceAA,fraction,90.0
GulfV,fraction,90.0
RojanaP2,fraction,90.0
BangPC1,fraction,90.0
GulfT,fraction,90.0
KlongLU,fraction,90.0
GulfT1,fraction,90.0
BanPU,fraction,90.0
BanPU1,fraction,90.0
GulfT2,fraction,90.0
IRPCCP,fraction,90.0
