tech,year,unit,value
BLCP-T,2023,dollar/MWh,0.78
BPK-C1,2023,dollar/MWh,0.45
BPK-C5,2023,dollar/MWh,0.45
BPK-T,2023,dollar/MWh,0.12
CHN-C1,2023,dollar/MWh,0.45
CHN-C2,2023,dollar/MWh,0.45
EPEC-C,2023,dollar/MWh,0.45
GLOW-C,2023,dollar/MWh,0.45
GNS-C,2023,dollar/MWh,0.45
GOC-T,2023,dollar/MWh,0.78
GPD-C1,2023,dollar/MWh,0.45
GPD-C2,2023,dollar/MWh,0.45
GPG-C,2023,dollar/MWh,0.45
GPS-C,2023,dollar/MWh,0.45
GSRC-C,2023,dollar/MWh,0.45
GSRC-C1,2023,dollar/MWh,0.45
GSRC-C2,2023,dollar/MWh,0.45
GSRC-C3,2023,dollar/MWh,0.45
GSRC-C4,2023,dollar/MWh,0.45
GUT-C,2023,dollar/MWh,0.45
KA-T,2023,dollar/MWh,6.5
KN-C2,2023,dollar/MWh,0.45
KPG-C,2023,dollar/MWh,0.45
MM-T14,2023,dollar/MWh,0.78
MM-T8-13,2023,dollar/MWh,0.12
NB-C1,2023,dollar/MWh,0.45
NB-C2,2023,dollar/MWh,0.45
NPO-C,2023,dollar/MWh,0.45
RB-C,2023,dollar/MWh,0.45
RB-T,2023,dollar/MWh,0.12
RPCL-C,2023,dollar/MWh,0.45
SB-C3,2023,dollar/MWh,0.45
SB-C4,2023,dollar/MWh,0.45
WN-C3,2023,dollar/MWh,0.45
WN-C4,2023,dollar/MWh,0.45
GlowE,2023,dollar/MWh,0.45
GlowE1,2023,dollar/MWh,0.45
PTTGC,2023,dollar/MWh,0.45
B.GrimmP,2023,dollar/MWh,0.45
AmataBP1,2023,dollar/MWh,0.45
B.GrimmP1,2023,dollar/MWh,0.45
BangkokC,2023,dollar/MWh,0.45
NationalPS,2023,dollar/MWh,0.12
GlowS2,2023,dollar/MWh,0.45
Sahacogen,2023,dollar/MWh,0.45
GlowS21,2023,dollar/MWh,0.45
RojanaP,2023,dollar/MWh,0.45
NationalPS1,2023,dollar/MWh,0.12
GlowS3,2023,dollar/MWh,0.12
GlowS31,2023,dollar/MWh,0.12
GlowS1,2023,dollar/MWh,0.45
B.GrimmP11,2023,dollar/MWh,0.45
AmataBP2,2023,dollar/MWh,0.45
EGCOC,2023,dollar/MWh,0.45
SiamPG,2023,dollar/MWh,0.45
