zone1,zone2,year,unit,capacity_max,capacity_min
bus1,bus2,2023,MW,0.0,0.0
bus2,bus1,2023,MW,0.0,0.0
bus10,bus16,2023,MW,0.0,0.0
bus16,bus10,2023,MW,0.0,0.0
bus100,bus99,2023,MW,0.0,0.0
bus99,bus100,2023,MW,0.0,0.0
bus101,bus99,2023,MW,0.0,0.0
bus99,bus101,2023,MW,0.0,0.0
bus102,bus273,2023,MW,0.0,0.0
bus273,bus102,2023,MW,0.0,0.0
bus102,bus87,2023,MW,0.0,0.0
bus87,bus102,2023,MW,0.0,0.0
bus103,bus104,2023,MW,0.0,0.0
bus104,bus103,2023,MW,0.0,0.0
bus104,bus100,2023,MW,0.0,0.0
bus100,bus104,2023,MW,0.0,0.0
bus104,bus105,2023,MW,0.0,0.0
bus105,bus104,2023,MW,0.0,0.0
bus105,bus102,2023,MW,0.0,0.0
bus102,bus105,2023,MW,0.0,0.0
bus106,bus100,2023,MW,0.0,0.0
bus100,bus106,2023,MW,0.0,0.0
bus106,bus107,2023,MW,0.0,0.0
bus107,bus106,2023,MW,0.0,0.0
bus106,bus273,2023,MW,0.0,0.0
bus273,bus106,2023,MW,0.0,0.0
bus106,bus280,2023,MW,0.0,0.0
bus280,bus106,2023,MW,0.0,0.0
bus106,bus281,2023,MW,0.0,0.0
bus281,bus106,2023,MW,0.0,0.0
bus106,bus282,2023,MW,0.0,0.0
bus282,bus106,2023,MW,0.0,0.0
bus107,bus108,2023,MW,0.0,0.0
bus108,bus107,2023,MW,0.0,0.0
bus107,bus109,2023,MW,0.0,0.0
bus109,bus107,2023,MW,0.0,0.0
bus109,bus110,2023,MW,0.0,0.0
bus110,bus109,2023,MW,0.0,0.0
bus11,bus10,2023,MW,0.0,0.0
bus10,bus11,2023,MW,0.0,0.0
bus11,bus12,2023,MW,0.0,0.0
bus12,bus11,2023,MW,0.0,0.0
bus11,bus14,2023,MW,0.0,0.0
bus14,bus11,2023,MW,0.0,0.0
bus110,bus106,2023,MW,0.0,0.0
bus106,bus110,2023,MW,0.0,0.0
