zone1,zone2,unit,value
bus1,bus2,km,12.23194932
bus2,bus1,km,0.0
bus10,bus16,km,6.708739545
bus16,bus10,km,0.0
bus100,bus99,km,0.850572839
bus99,bus100,km,0.0
bus101,bus99,km,6.971177035
bus99,bus101,km,0.0
bus102,bus273,km,107.5556175
bus273,bus102,km,0.0
bus102,bus87,km,282.1152497
bus87,bus102,km,0.0
bus103,bus104,km,1.35464539
bus104,bus103,km,0.0
bus104,bus100,km,19.6909505
bus100,bus104,km,0.0
bus104,bus105,km,1.426309156
bus105,bus104,km,0.0
bus105,bus102,km,27.95048209
bus102,bus105,km,0.0
bus106,bus100,km,42.66146106
bus100,bus106,km,0.0
bus106,bus107,km,32.71542563
bus107,bus106,km,0.0
bus106,bus273,km,55.53606819
bus273,bus106,km,0.0
bus106,bus280,km,22.92158406
bus280,bus106,km,0.0
bus106,bus281,km,12.74759601
bus281,bus106,km,0.0
bus106,bus282,km,9.304428354
bus282,bus106,km,0.0
bus107,bus108,km,1.351790147
bus108,bus107,km,0.0
bus107,bus109,km,11.71250127
bus109,bus107,km,0.0
bus109,bus110,km,14.26877276
bus110,bus109,km,0.0
bus11,bus10,km,7.560855245
bus10,bus11,km,0.0
bus11,bus12,km,3.093449627
bus12,bus11,km,0.0
bus11,bus14,km,10.86462778
bus14,bus11,km,0.0
bus110,bus106,km,53.56235092
bus106,bus110,km,0.0
bus111,bus110,km,30.35387084
bus110,bus111,km,0.0
bus111,bus113,km,28.99946808
bus113,bus111,km,0.0
bus112,bus111,km,2.692686203
bus111,bus112,km,0.0
bus115,bus116,km,0.715041487
bus116,bus115,km,0.0
bus116,bus117,km,53.13150621
bus117,bus116,km,0.0
bus116,bus190,km,52.61971615
bus190,bus116,km,0.0
bus116,bus191,km,48.92000344
bus191,bus116,km,0.0
bus119,bus118,km,28.62167473
bus118,bus119,km,0.0
bus12,bus14,km,12.99816084
bus14,bus12,km,0.0
bus120,bus121,km,8.24589615
bus121,bus120,km,0.0
bus121,bus123,km,25.23685569
bus123,bus121,km,0.0
bus122,bus121,km,10.96839202
bus121,bus122,km,0.0
bus124,bus125,km,104.4479645
bus125,bus124,km,0.0
bus125,bus136,km,42.60250236
bus136,bus125,km,0.0
bus127,bus128,km,3.345998577
bus128,bus127,km,0.0
bus128,bus123,km,52.30066249
bus123,bus128,km,0.0
bus128,bus152,km,5.37289097
bus152,bus128,km,0.0
bus129,bus144,km,8.386035143
bus144,bus129,km,0.0
bus13,bus27,km,71.39611959
bus27,bus13,km,0.0
bus130,bus129,km,2.338565275
bus129,bus130,km,0.0
bus131,bus129,km,4.031592717
bus129,bus131,km,0.0
bus131,bus130,km,1.465711674
bus130,bus131,km,0.0
bus132,bus130,km,3.792599367
bus130,bus132,km,0.0
bus132,bus134,km,4.644821123
bus134,bus132,km,0.0
bus133,bus136,km,3.052848444
bus136,bus133,km,0.0
bus134,bus135,km,0.680457521
bus135,bus134,km,0.0
bus135,bus133,km,2.071457128
bus133,bus135,km,0.0
bus135,bus137,km,1.227204732
bus137,bus135,km,0.0
bus135,bus140,km,2.633720973
bus140,bus135,km,0.0
bus136,bus140,km,3.004361865
bus140,bus136,km,0.0
bus138,bus133,km,6.656545871
bus133,bus138,km,0.0
bus139,bus132,km,6.423114215
bus132,bus139,km,0.0
bus14,bus13,km,0.767162534
bus13,bus14,km,0.0
bus14,bus15,km,24.01079832
bus15,bus14,km,0.0
bus143,bus139,km,2.779886706
bus139,bus143,km,0.0
bus144,bus145,km,1.505267799
bus145,bus144,km,0.0
bus145,bus138,km,16.41330751
bus138,bus145,km,0.0
bus145,bus146,km,1.983255295
bus146,bus145,km,0.0
bus146,bus126,km,15.29117249
bus126,bus146,km,0.0
bus146,bus142,km,10.45209697
bus142,bus146,km,0.0
bus147,bus141,km,15.90403856
bus141,bus147,km,0.0
bus149,bus147,km,7.265676775
bus147,bus149,km,0.0
bus149,bus148,km,1.679349949
bus148,bus149,km,0.0
bus15,bus24,km,43.24039341
bus24,bus15,km,0.0
bus150,bus149,km,15.61469272
bus149,bus150,km,0.0
bus151,bus131,km,6.137436886
bus131,bus151,km,0.0
bus151,bus150,km,19.09221259
bus150,bus151,km,0.0
bus152,bus133,km,22.15856332
bus133,bus152,km,0.0
bus155,bus153,km,16.82715138
bus153,bus155,km,0.0
bus155,bus154,km,1.399678882
bus154,bus155,km,0.0
bus156,bus157,km,19.83046863
bus157,bus156,km,0.0
bus156,bus198,km,49.58269997
bus198,bus156,km,0.0
bus156,bus201,km,53.04843722
bus201,bus156,km,0.0
bus157,bus155,km,23.96025813
bus155,bus157,km,0.0
bus158,bus156,km,82.54973626
bus156,bus158,km,0.0
bus159,bus163,km,1.937732596
bus163,bus159,km,0.0
bus159,bus183,km,151.994934
bus183,bus159,km,0.0
bus159,bus187,km,120.2723137
bus187,bus159,km,0.0
bus160,bus158,km,125.0185871
bus158,bus160,km,0.0
bus160,bus159,km,2.835562086
bus159,bus160,km,0.0
bus160,bus161,km,1.186770949
bus161,bus160,km,0.0
bus160,bus167,km,17.06546784
bus167,bus160,km,0.0
bus160,bus172,km,97.81258688
bus172,bus160,km,0.0
bus161,bus162,km,2.735401443
bus162,bus161,km,0.0
bus161,bus196,km,57.17038382
bus196,bus161,km,0.0
bus162,bus163,km,0.693603019
bus163,bus162,km,0.0
bus162,bus164,km,1.745387653
bus164,bus162,km,0.0
bus163,bus170,km,38.96096395
bus170,bus163,km,0.0
bus164,bus166,km,3.685642693
bus166,bus164,km,0.0
bus165,bus171,km,34.77834819
bus171,bus165,km,0.0
bus166,bus165,km,3.872328305
bus165,bus166,km,0.0
bus166,bus171,km,15.72444762
bus171,bus166,km,0.0
bus167,bus168,km,1.312752686
bus168,bus167,km,0.0
bus168,bus169,km,8.147255816
bus169,bus168,km,0.0
bus169,bus194,km,76.44129312
bus194,bus169,km,0.0
bus169,bus197,km,0.64655342
bus197,bus169,km,0.0
bus17,bus19,km,5.828050306
bus19,bus17,km,0.0
bus17,bus4,km,115.2826233
bus4,bus17,km,0.0
bus170,bus172,km,50.75556951
bus172,bus170,km,0.0
bus171,bus152,km,77.68054092
bus152,bus171,km,0.0
bus172,bus127,km,22.27486344
bus127,bus172,km,0.0
bus172,bus145,km,44.73689724
bus145,bus172,km,0.0
bus173,bus170,km,83.06151367
bus170,bus173,km,0.0
bus174,bus175,km,1.693388668
bus175,bus174,km,0.0
bus174,bus176,km,4.139895096
bus176,bus174,km,0.0
bus175,bus179,km,56.01562797
bus179,bus175,km,0.0
bus176,bus173,km,62.87159984
bus173,bus176,km,0.0
bus176,bus175,km,2.601977629
bus175,bus176,km,0.0
bus176,bus181,km,55.25191892
bus181,bus176,km,0.0
bus177,bus176,km,46.62722833
bus176,bus177,km,0.0
bus178,bus177,km,3.128387467
bus177,bus178,km,0.0
bus178,bus181,km,8.259180226
bus181,bus178,km,0.0
bus179,bus118,km,83.07923335
bus118,bus179,km,0.0
bus179,bus178,km,11.1283695
bus178,bus179,km,0.0
bus179,bus180,km,1.411080416
bus180,bus179,km,0.0
bus18,bus21,km,8.618626254
bus21,bus18,km,0.0
bus180,bus181,km,3.383054679
bus181,bus180,km,0.0
bus181,bus117,km,52.91706349
bus117,bus181,km,0.0
bus181,bus224,km,170.9705419
bus224,bus181,km,0.0
bus182,bus178,km,77.11002076
bus178,bus182,km,0.0
bus182,bus185,km,33.56506673
bus185,bus182,km,0.0
bus183,bus190,km,16.78364393
bus190,bus183,km,0.0
bus185,bus184,km,10.35183377
bus184,bus185,km,0.0
bus185,bus186,km,41.61876171
bus186,bus185,km,0.0
bus186,bus193,km,63.39266698
bus193,bus186,km,0.0
bus186,bus195,km,56.95621419
bus195,bus186,km,0.0
bus187,bus190,km,61.64789887
bus190,bus187,km,0.0
bus187,bus192,km,69.66395075
bus192,bus187,km,0.0
bus188,bus229,km,248.1144912
bus229,bus188,km,0.0
bus189,bus182,km,38.07410633
bus182,bus189,km,0.0
bus189,bus190,km,4.458754713
bus190,bus189,km,0.0
bus19,bus20,km,9.983488931
bus20,bus19,km,0.0
bus190,bus192,km,21.29600135
bus192,bus190,km,0.0
bus190,bus221,km,53.43760582
bus221,bus190,km,0.0
bus191,bus189,km,13.84186768
bus189,bus191,km,0.0
bus191,bus220,km,49.18185273
bus220,bus191,km,0.0
bus192,bus216,km,108.288894
bus216,bus192,km,0.0
bus192,bus229,km,150.7930267
bus229,bus192,km,0.0
bus193,bus187,km,61.84478001
bus187,bus193,km,0.0
bus194,bus188,km,2.172393942
bus188,bus194,km,0.0
bus195,bus196,km,8.94965111
bus196,bus195,km,0.0
bus196,bus202,km,114.4317298
bus202,bus196,km,0.0
bus199,bus198,km,42.40303283
bus198,bus199,km,0.0
bus2,bus3,km,6.204001003
bus3,bus2,km,0.0
bus2,bus8,km,77.7699538
bus8,bus2,km,0.0
bus2,bus9,km,68.77601477
bus9,bus2,km,0.0
bus200,bus198,km,21.89258137
bus198,bus200,km,0.0
bus202,bus197,km,129.1000333
bus197,bus202,km,0.0
bus203,bus202,km,178.0759734
bus202,bus203,km,0.0
bus204,bus205,km,155.4627267
bus205,bus204,km,0.0
bus205,bus207,km,0.812489547
bus207,bus205,km,0.0
bus206,bus205,km,76.58024304
bus205,bus206,km,0.0
bus207,bus208,km,4.917992755
bus208,bus207,km,0.0
bus208,bus387,km,212.740008
bus387,bus208,km,0.0
bus209,bus405,km,80.06862715
bus405,bus209,km,0.0
bus21,bus7,km,53.72193323
bus7,bus21,km,0.0
bus210,bus403,km,51.94505032
bus403,bus210,km,0.0
bus211,bus229,km,163.7503263
bus229,bus211,km,0.0
bus213,bus358,km,21.13611953
bus358,bus213,km,0.0
bus214,bus231,km,84.86518642
bus231,bus214,km,0.0
bus216,bus217,km,56.65013951
bus217,bus216,km,0.0
bus216,bus388,km,166.8537563
bus388,bus216,km,0.0
bus217,bus218,km,58.10742117
bus218,bus217,km,0.0
bus218,bus220,km,40.38769012
bus220,bus218,km,0.0
bus22,bus17,km,77.74221217
bus17,bus22,km,0.0
bus22,bus58,km,99.19796428
bus58,bus22,km,0.0
bus221,bus220,km,29.24126059
bus220,bus221,km,0.0
bus221,bus224,km,92.85833179
bus224,bus221,km,0.0
bus222,bus225,km,15.58912496
bus225,bus222,km,0.0
bus222,bus261,km,101.9113648
bus261,bus222,km,0.0
bus222,bus268,km,98.22747513
bus268,bus222,km,0.0
bus223,bus222,km,16.59277934
bus222,bus223,km,0.0
bus223,bus229,km,33.14202699
bus229,bus223,km,0.0
bus224,bus114,km,50.95064304
bus114,bus224,km,0.0
bus224,bus180,km,171.4127644
bus180,bus224,km,0.0
bus224,bus223,km,17.94551671
bus223,bus224,km,0.0
bus226,bus227,km,2.02073372
bus227,bus226,km,0.0
bus226,bus228,km,9.272524077
bus228,bus226,km,0.0
bus227,bus225,km,19.28765335
bus225,bus227,km,0.0
bus227,bus229,km,47.18955571
bus229,bus227,km,0.0
bus229,bus214,km,96.77792113
bus214,bus229,km,0.0
bus229,bus215,km,70.20637083
bus215,bus229,km,0.0
bus229,bus219,km,51.33849961
bus219,bus229,km,0.0
bus229,bus233,km,122.0673137
bus233,bus229,km,0.0
bus229,bus234,km,113.6123653
bus234,bus229,km,0.0
bus229,bus265,km,96.38981019
bus265,bus229,km,0.0
bus23,bus24,km,15.65402374
bus24,bus23,km,0.0
bus23,bus43,km,192.3469748
bus43,bus23,km,0.0
bus23,bus57,km,32.64812158
bus57,bus23,km,0.0
bus233,bus236,km,6.261094684
bus236,bus233,km,0.0
bus233,bus261,km,22.73960711
bus261,bus233,km,0.0
bus234,bus235,km,1.376192213
bus235,bus234,km,0.0
bus234,bus236,km,14.39811441
bus236,bus234,km,0.0
bus234,bus243,km,23.70675795
bus243,bus234,km,0.0
bus236,bus213,km,145.4885568
bus213,bus236,km,0.0
bus236,bus255,km,21.64565266
bus255,bus236,km,0.0
bus238,bus230,km,21.57919322
bus230,bus238,km,0.0
bus238,bus237,km,2.056641318
bus237,bus238,km,0.0
bus238,bus242,km,3.945827094
bus242,bus238,km,0.0
bus238,bus243,km,3.940326864
bus243,bus238,km,0.0
bus238,bus344,km,23.32380948
bus344,bus238,km,0.0
bus239,bus238,km,1.742979422
bus238,bus239,km,0.0
bus239,bus263,km,30.01200375
bus263,bus239,km,0.0
bus24,bus17,km,123.7654204
bus17,bus24,km,0.0
bus24,bus27,km,50.81175594
bus27,bus24,km,0.0
bus240,bus344,km,18.58327279
bus344,bus240,km,0.0
bus240,bus345,km,9.972205858
bus345,bus240,km,0.0
bus241,bus240,km,3.353246048
bus240,bus241,km,0.0
bus242,bus241,km,1.696638006
bus241,bus242,km,0.0
bus242,bus243,km,0.924739519
bus243,bus242,km,0.0
bus243,bus233,km,15.97208587
bus233,bus243,km,0.0
bus243,bus241,km,2.287066771
bus241,bus243,km,0.0
bus244,bus245,km,3.344024818
bus245,bus244,km,0.0
bus245,bus236,km,21.12218988
bus236,bus245,km,0.0
bus245,bus246,km,19.70952769
bus246,bus245,km,0.0
bus245,bus248,km,24.71870314
bus248,bus245,km,0.0
bus246,bus249,km,5.007079482
bus249,bus246,km,0.0
bus246,bus250,km,6.697663835
bus250,bus246,km,0.0
bus247,bus248,km,26.42505725
bus248,bus247,km,0.0
bus247,bus310,km,27.52277031
bus310,bus247,km,0.0
bus248,bus250,km,1.213742981
bus250,bus248,km,0.0
bus249,bus248,km,3.13120473
bus248,bus249,km,0.0
bus25,bus26,km,0.631151448
bus26,bus25,km,0.0
bus250,bus247,km,21.88295427
bus247,bus250,km,0.0
bus250,bus253,km,22.46764616
bus253,bus250,km,0.0
bus251,bus252,km,5.819665681
bus252,bus251,km,0.0
bus252,bus250,km,22.29925312
bus250,bus252,km,0.0
bus253,bus257,km,28.62116299
bus257,bus253,km,0.0
bus253,bus259,km,3.85584057
bus259,bus253,km,0.0
bus254,bus245,km,17.03179979
bus245,bus254,km,0.0
bus255,bus245,km,5.392633844
bus245,bus255,km,0.0
bus256,bus258,km,5.959918858
bus258,bus256,km,0.0
bus257,bus262,km,23.19328095
bus262,bus257,km,0.0
bus259,bus258,km,21.6811483
bus258,bus259,km,0.0
bus26,bus24,km,2.84612285
bus24,bus26,km,0.0
bus260,bus262,km,8.747726414
bus262,bus260,km,0.0
bus261,bus262,km,2.791414547
bus262,bus261,km,0.0
bus261,bus268,km,15.19820852
bus268,bus261,km,0.0
bus262,bus258,km,27.71229088
bus258,bus262,km,0.0
bus262,bus263,km,2.605166418
bus263,bus262,km,0.0
