zone1,zone2,unit,value
bus1,bus2,fraction,0.95
bus2,bus1,fraction,0.95
bus10,bus16,fraction,0.95
bus16,bus10,fraction,0.95
bus100,bus99,fraction,0.95
bus99,bus100,fraction,0.95
bus101,bus99,fraction,0.95
bus99,bus101,fraction,0.95
bus102,bus273,fraction,0.95
bus273,bus102,fraction,0.95
bus102,bus87,fraction,0.95
bus87,bus102,fraction,0.95
bus103,bus104,fraction,0.95
bus104,bus103,fraction,0.95
bus104,bus100,fraction,0.95
bus100,bus104,fraction,0.95
bus104,bus105,fraction,0.95
bus105,bus104,fraction,0.95
bus105,bus102,fraction,0.95
bus102,bus105,fraction,0.95
bus106,bus100,fraction,0.95
bus100,bus106,fraction,0.95
bus106,bus107,fraction,0.95
bus107,bus106,fraction,0.95
bus106,bus273,fraction,0.95
bus273,bus106,fraction,0.95
bus106,bus280,fraction,0.95
bus280,bus106,fraction,0.95
bus106,bus281,fraction,0.95
bus281,bus106,fraction,0.95
bus106,bus282,fraction,0.95
bus282,bus106,fraction,0.95
bus107,bus108,fraction,0.95
bus108,bus107,fraction,0.95
bus107,bus109,fraction,0.95
bus109,bus107,fraction,0.95
bus109,bus110,fraction,0.95
bus110,bus109,fraction,0.95
bus11,bus10,fraction,0.95
bus10,bus11,fraction,0.95
bus11,bus12,fraction,0.95
bus12,bus11,fraction,0.95
bus11,bus14,fraction,0.95
bus14,bus11,fraction,0.95
bus110,bus106,fraction,0.95
bus106,bus110,fraction,0.95
bus111,bus110,fraction,0.95
bus110,bus111,fraction,0.95
bus111,bus113,fraction,0.95
bus113,bus111,fraction,0.95
bus112,bus111,fraction,0.95
bus111,bus112,fraction,0.95
bus115,bus116,fraction,0.95
bus116,bus115,fraction,0.95
bus116,bus117,fraction,0.95
bus117,bus116,fraction,0.95
bus116,bus190,fraction,0.95
bus190,bus116,fraction,0.95
bus116,bus191,fraction,0.95
bus191,bus116,fraction,0.95
bus119,bus118,fraction,0.95
bus118,bus119,fraction,0.95
bus12,bus14,fraction,0.95
bus14,bus12,fraction,0.95
bus120,bus121,fraction,0.95
bus121,bus120,fraction,0.95
bus121,bus123,fraction,0.95
bus123,bus121,fraction,0.95
bus122,bus121,fraction,0.95
bus121,bus122,fraction,0.95
bus124,bus125,fraction,0.95
bus125,bus124,fraction,0.95
bus125,bus136,fraction,0.95
bus136,bus125,fraction,0.95
bus127,bus128,fraction,0.95
