zone1,zone2,unit,value
bus1,bus2,MW/rad,6962.0
bus10,bus16,MW/rad,3378.0
bus100,bus99,MW/rad,1688.0
bus101,bus99,MW/rad,1688.0
bus102,bus273,MW/rad,6962.0
bus102,bus87,MW/rad,13924.0
bus103,bus104,MW/rad,1688.0
bus100,bus104,MW/rad,1688.0
bus104,bus105,MW/rad,13924.0
bus102,bus105,MW/rad,6962.0
bus100,bus106,MW/rad,1688.0
bus106,bus107,MW/rad,1688.0
bus106,bus273,MW/rad,6962.0
bus106,bus280,MW/rad,1688.0
bus106,bus281,MW/rad,6962.0
bus106,bus282,MW/rad,1688.0
bus107,bus108,MW/rad,1000.0
bus107,bus109,MW/rad,1000.0
bus109,bus110,MW/rad,1688.0
bus10,bus11,MW/rad,1688.0
bus11,bus12,MW/rad,1688.0
bus11,bus14,MW/rad,1688.0
bus106,bus110,MW/rad,3378.0
bus110,bus111,MW/rad,5066.0
bus111,bus113,MW/rad,5066.0
bus111,bus112,MW/rad,1000.0
bus115,bus116,MW/rad,1000.0
bus116,bus117,MW/rad,1000.0
bus116,bus190,MW/rad,1688.0
bus116,bus191,MW/rad,1000.0
bus118,bus119,MW/rad,1000.0
bus12,bus14,MW/rad,1688.0
bus120,bus121,MW/rad,1000.0
bus121,bus123,MW/rad,1000.0
bus121,bus122,MW/rad,1000.0
bus124,bus125,MW/rad,1000.0
bus125,bus136,MW/rad,1000.0
bus127,bus128,MW/rad,1688.0
bus123,bus128,MW/rad,1688.0
bus128,bus152,MW/rad,1688.0
bus129,bus144,MW/rad,1688.0
bus13,bus27,MW/rad,1000.0
bus129,bus130,MW/rad,1000.0
bus129,bus131,MW/rad,1000.0
bus130,bus131,MW/rad,1000.0
bus130,bus132,MW/rad,1000.0
bus132,bus134,MW/rad,1000.0
bus133,bus136,MW/rad,1688.0
bus134,bus135,MW/rad,1688.0
bus133,bus135,MW/rad,1000.0
bus135,bus137,MW/rad,1000.0
bus135,bus140,MW/rad,1000.0
bus136,bus140,MW/rad,1688.0
bus133,bus138,MW/rad,1000.0
bus132,bus139,MW/rad,1000.0
bus13,bus14,MW/rad,1688.0
bus14,bus15,MW/rad,1688.0
bus139,bus143,MW/rad,1000.0
bus144,bus145,MW/rad,1688.0
