zone1,zone2,year,unit,value
bus1,bus2,2023,dollar/MWh,0.01
bus2,bus1,2023,dollar/MWh,0.01
bus10,bus16,2023,dollar/MWh,0.01
bus16,bus10,2023,dollar/MWh,0.01
bus100,bus99,2023,dollar/MWh,0.01
bus99,bus100,2023,dollar/MWh,0.01
bus101,bus99,2023,dollar/MWh,0.01
bus99,bus101,2023,dollar/MWh,0.01
bus102,bus273,2023,dollar/MWh,0.01
bus273,bus102,2023,dollar/MWh,0.01
bus102,bus87,2023,dollar/MWh,0.01
bus87,bus102,2023,dollar/MWh,0.01
bus103,bus104,2023,dollar/MWh,0.01
bus104,bus103,2023,dollar/MWh,0.01
bus104,bus100,2023,dollar/MWh,0.01
bus100,bus104,2023,dollar/MWh,0.01
bus104,bus105,2023,dollar/MWh,0.01
bus105,bus104,2023,dollar/MWh,0.01
bus105,bus102,2023,dollar/MWh,0.01
bus102,bus105,2023,dollar/MWh,0.01
bus106,bus100,2023,dollar/MWh,0.01
bus100,bus106,2023,dollar/MWh,0.01
bus106,bus107,2023,dollar/MWh,0.01
bus107,bus106,2023,dollar/MWh,0.01
bus106,bus273,2023,dollar/MWh,0.01
bus273,bus106,2023,dollar/MWh,0.01
bus106,bus280,2023,dollar/MWh,0.01
bus280,bus106,2023,dollar/MWh,0.01
bus106,bus281,2023,dollar/MWh,0.01
bus281,bus106,2023,dollar/MWh,0.01
bus106,bus282,2023,dollar/MWh,0.01
bus282,bus106,2023,dollar/MWh,0.01
bus107,bus108,2023,dollar/MWh,0.01
bus108,bus107,2023,dollar/MWh,0.01
bus107,bus109,2023,dollar/MWh,0.01
bus109,bus107,2023,dollar/MWh,0.01
bus109,bus110,2023,dollar/MWh,0.01
bus110,bus109,2023,dollar/MWh,0.01
bus11,bus10,2023,dollar/MWh,0.01
bus10,bus11,2023,dollar/MWh,0.01
bus11,bus12,2023,dollar/MWh,0.01
bus12,bus11,2023,dollar/MWh,0.01
bus11,bus14,2023,dollar/MWh,0.01
bus14,bus11,2023,dollar/MWh,0.01
bus110,bus106,2023,dollar/MWh,0.01
bus106,bus110,2023,dollar/MWh,0.01
bus111,bus110,2023,dollar/MWh,0.01
bus110,bus111,2023,dollar/MWh,0.01
bus111,bus113,2023,dollar/MWh,0.01
bus113,bus111,2023,dollar/MWh,0.01
bus112,bus111,2023,dollar/MWh,0.01
bus111,bus112,2023,dollar/MWh,0.01
bus115,bus116,2023,dollar/MWh,0.01
bus116,bus115,2023,dollar/MWh,0.01
bus116,bus117,2023,dollar/MWh,0.01
bus117,bus116,2023,dollar/MWh,0.01
bus116,bus190,2023,dollar/MWh,0.01
bus190,bus116,2023,dollar/MWh,0.01
bus116,bus191,2023,dollar/MWh,0.01
bus191,bus116,2023,dollar/MWh,0.01
bus119,bus118,2023,dollar/MWh,0.01
bus118,bus119,2023,dollar/MWh,0.01
bus12,bus14,2023,dollar/MWh,0.01
bus14,bus12,2023,dollar/MWh,0.01
bus120,bus121,2023,dollar/MWh,0.01
bus121,bus120,2023,dollar/MWh,0.01
bus121,bus123,2023,dollar/MWh,0.01
bus123,bus121,2023,dollar/MWh,0.01
bus122,bus121,2023,dollar/MWh,0.01
bus121,bus122,2023,dollar/MWh,0.01
bus124,bus125,2023,dollar/MWh,0.01
bus125,bus124,2023,dollar/MWh,0.01
bus125,bus136,2023,dollar/MWh,0.01
bus136,bus125,2023,dollar/MWh,0.01
bus127,bus128,2023,dollar/MWh,0.01
bus128,bus127,2023,dollar/MWh,0.01
bus128,bus123,2023,dollar/MWh,0.01
bus123,bus128,2023,dollar/MWh,0.01
bus128,bus152,2023,dollar/MWh,0.01
bus152,bus128,2023,dollar/MWh,0.01
bus129,bus144,2023,dollar/MWh,0.01
bus144,bus129,2023,dollar/MWh,0.01
bus13,bus27,2023,dollar/MWh,0.01
bus27,bus13,2023,dollar/MWh,0.01
bus130,bus129,2023,dollar/MWh,0.01
bus129,bus130,2023,dollar/MWh,0.01
bus131,bus129,2023,dollar/MWh,0.01
bus129,bus131,2023,dollar/MWh,0.01
bus131,bus130,2023,dollar/MWh,0.01
bus130,bus131,2023,dollar/MWh,0.01
bus132,bus130,2023,dollar/MWh,0.01
bus130,bus132,2023,dollar/MWh,0.01
bus132,bus134,2023,dollar/MWh,0.01
bus134,bus132,2023,dollar/MWh,0.01
bus133,bus136,2023,dollar/MWh,0.01
bus136,bus133,2023,dollar/MWh,0.01
bus134,bus135,2023,dollar/MWh,0.01
bus135,bus134,2023,dollar/MWh,0.01
bus135,bus133,2023,dollar/MWh,0.01
bus133,bus135,2023,dollar/MWh,0.01
bus135,bus137,2023,dollar/MWh,0.01
bus137,bus135,2023,dollar/MWh,0.01
bus135,bus140,2023,dollar/MWh,0.01
bus140,bus135,2023,dollar/MWh,0.01
bus136,bus140,2023,dollar/MWh,0.01
bus140,bus136,2023,dollar/MWh,0.01
bus138,bus133,2023,dollar/MWh,0.01
bus133,bus138,2023,dollar/MWh,0.01
bus139,bus132,2023,dollar/MWh,0.01
bus132,bus139,2023,dollar/MWh,0.01
bus14,bus13,2023,dollar/MWh,0.01
bus13,bus14,2023,dollar/MWh,0.01
bus14,bus15,2023,dollar/MWh,0.01
bus15,bus14,2023,dollar/MWh,0.01
bus143,bus139,2023,dollar/MWh,0.01
bus139,bus143,2023,dollar/MWh,0.01
bus144,bus145,2023,dollar/MWh,0.01
bus145,bus144,2023,dollar/MWh,0.01
bus145,bus138,2023,dollar/MWh,0.01
bus138,bus145,2023,dollar/MWh,0.01
bus145,bus146,2023,dollar/MWh,0.01
bus146,bus145,2023,dollar/MWh,0.01
bus146,bus126,2023,dollar/MWh,0.01
bus126,bus146,2023,dollar/MWh,0.01
bus146,bus142,2023,dollar/MWh,0.01
bus142,bus146,2023,dollar/MWh,0.01
bus147,bus141,2023,dollar/MWh,0.01
bus141,bus147,2023,dollar/MWh,0.01
bus149,bus147,2023,dollar/MWh,0.01
bus147,bus149,2023,dollar/MWh,0.01
bus149,bus148,2023,dollar/MWh,0.01
bus148,bus149,2023,dollar/MWh,0.01
bus15,bus24,2023,dollar/MWh,0.01
bus24,bus15,2023,dollar/MWh,0.01
bus150,bus149,2023,dollar/MWh,0.01
bus149,bus150,2023,dollar/MWh,0.01
bus151,bus131,2023,dollar/MWh,0.01
bus131,bus151,2023,dollar/MWh,0.01
bus151,bus150,2023,dollar/MWh,0.01
bus150,bus151,2023,dollar/MWh,0.01
bus152,bus133,2023,dollar/MWh,0.01
bus133,bus152,2023,dollar/MWh,0.01
bus155,bus153,2023,dollar/MWh,0.01
bus153,bus155,2023,dollar/MWh,0.01
bus155,bus154,2023,dollar/MWh,0.01
bus154,bus155,2023,dollar/MWh,0.01
bus156,bus157,2023,dollar/MWh,0.01
bus157,bus156,2023,dollar/MWh,0.01
bus156,bus198,2023,dollar/MWh,0.01
bus198,bus156,2023,dollar/MWh,0.01
bus156,bus201,2023,dollar/MWh,0.01
bus201,bus156,2023,dollar/MWh,0.01
bus157,bus155,2023,dollar/MWh,0.01
bus155,bus157,2023,dollar/MWh,0.01
bus158,bus156,2023,dollar/MWh,0.01
bus156,bus158,2023,dollar/MWh,0.01
bus159,bus163,2023,dollar/MWh,0.01
bus163,bus159,2023,dollar/MWh,0.01
bus159,bus183,2023,dollar/MWh,0.01
bus183,bus159,2023,dollar/MWh,0.01
bus159,bus187,2023,dollar/MWh,0.01
bus187,bus159,2023,dollar/MWh,0.01
bus160,bus158,2023,dollar/MWh,0.01
bus158,bus160,2023,dollar/MWh,0.01
bus160,bus159,2023,dollar/MWh,0.01
bus159,bus160,2023,dollar/MWh,0.01
bus160,bus161,2023,dollar/MWh,0.01
bus161,bus160,2023,dollar/MWh,0.01
bus160,bus167,2023,dollar/MWh,0.01
bus167,bus160,2023,dollar/MWh,0.01
bus160,bus172,2023,dollar/MWh,0.01
bus172,bus160,2023,dollar/MWh,0.01
bus161,bus162,2023,dollar/MWh,0.01
bus162,bus161,2023,dollar/MWh,0.01
bus161,bus196,2023,dollar/MWh,0.01
bus196,bus161,2023,dollar/MWh,0.01
bus162,bus163,2023,dollar/MWh,0.01
bus163,bus162,2023,dollar/MWh,0.01
bus162,bus164,2023,dollar/MWh,0.01
bus164,bus162,2023,dollar/MWh,0.01
bus163,bus170,2023,dollar/MWh,0.01
bus170,bus163,2023,dollar/MWh,0.01
bus164,bus166,2023,dollar/MWh,0.01
bus166,bus164,2023,dollar/MWh,0.01
bus165,bus171,2023,dollar/MWh,0.01
bus171,bus165,2023,dollar/MWh,0.01
bus166,bus165,2023,dollar/MWh,0.01
bus165,bus166,2023,dollar/MWh,0.01
bus166,bus171,2023,dollar/MWh,0.01
bus171,bus166,2023,dollar/MWh,0.01
bus167,bus168,2023,dollar/MWh,0.01
bus168,bus167,2023,dollar/MWh,0.01
bus168,bus169,2023,dollar/MWh,0.01
bus169,bus168,2023,dollar/MWh,0.01
bus169,bus194,2023,dollar/MWh,0.01
bus194,bus169,2023,dollar/MWh,0.01
bus169,bus197,2023,dollar/MWh,0.01
bus197,bus169,2023,dollar/MWh,0.01
bus17,bus19,2023,dollar/MWh,0.01
bus19,bus17,2023,dollar/MWh,0.01
bus17,bus4,2023,dollar/MWh,0.01
bus4,bus17,2023,dollar/MWh,0.01
bus170,bus172,2023,dollar/MWh,0.01
bus172,bus170,2023,dollar/MWh,0.01
bus171,bus152,2023,dollar/MWh,0.01
bus152,bus171,2023,dollar/MWh,0.01
bus172,bus127,2023,dollar/MWh,0.01
bus127,bus172,2023,dollar/MWh,0.01
bus172,bus145,2023,dollar/MWh,0.01
bus145,bus172,2023,dollar/MWh,0.01
bus173,bus170,2023,dollar/MWh,0.01
bus170,bus173,2023,dollar/MWh,0.01
bus174,bus175,2023,dollar/MWh,0.01
bus175,bus174,2023,dollar/MWh,0.01
bus174,bus176,2023,dollar/MWh,0.01
bus176,bus174,2023,dollar/MWh,0.01
bus175,bus179,2023,dollar/MWh,0.01
bus179,bus175,2023,dollar/MWh,0.01
bus176,bus173,2023,dollar/MWh,0.01
bus173,bus176,2023,dollar/MWh,0.01
bus176,bus175,2023,dollar/MWh,0.01
bus175,bus176,2023,dollar/MWh,0.01
bus176,bus181,2023,dollar/MWh,0.01
bus181,bus176,2023,dollar/MWh,0.01
bus177,bus176,2023,dollar/MWh,0.01
bus176,bus177,2023,dollar/MWh,0.01
bus178,bus177,2023,dollar/MWh,0.01
bus177,bus178,2023,dollar/MWh,0.01
bus178,bus181,2023,dollar/MWh,0.01
bus181,bus178,2023,dollar/MWh,0.01
bus179,bus118,2023,dollar/MWh,0.01
bus118,bus179,2023,dollar/MWh,0.01
bus179,bus178,2023,dollar/MWh,0.01
bus178,bus179,2023,dollar/MWh,0.01
bus179,bus180,2023,dollar/MWh,0.01
bus180,bus179,2023,dollar/MWh,0.01
bus18,bus21,2023,dollar/MWh,0.01
bus21,bus18,2023,dollar/MWh,0.01
bus180,bus181,2023,dollar/MWh,0.01
bus181,bus180,2023,dollar/MWh,0.01
bus181,bus117,2023,dollar/MWh,0.01
bus117,bus181,2023,dollar/MWh,0.01
bus181,bus224,2023,dollar/MWh,0.01
bus224,bus181,2023,dollar/MWh,0.01
bus182,bus178,2023,dollar/MWh,0.01
bus178,bus182,2023,dollar/MWh,0.01
bus182,bus185,2023,dollar/MWh,0.01
bus185,bus182,2023,dollar/MWh,0.01
bus183,bus190,2023,dollar/MWh,0.01
bus190,bus183,2023,dollar/MWh,0.01
bus185,bus184,2023,dollar/MWh,0.01
bus184,bus185,2023,dollar/MWh,0.01
bus185,bus186,2023,dollar/MWh,0.01
bus186,bus185,2023,dollar/MWh,0.01
bus186,bus193,2023,dollar/MWh,0.01
bus193,bus186,2023,dollar/MWh,0.01
bus186,bus195,2023,dollar/MWh,0.01
bus195,bus186,2023,dollar/MWh,0.01
bus187,bus190,2023,dollar/MWh,0.01
bus190,bus187,2023,dollar/MWh,0.01
bus187,bus192,2023,dollar/MWh,0.01
bus192,bus187,2023,dollar/MWh,0.01
bus188,bus229,2023,dollar/MWh,0.01
bus229,bus188,2023,dollar/MWh,0.01
bus189,bus182,2023,dollar/MWh,0.01
bus182,bus189,2023,dollar/MWh,0.01
bus189,bus190,2023,dollar/MWh,0.01
bus190,bus189,2023,dollar/MWh,0.01
bus19,bus20,2023,dollar/MWh,0.01
bus20,bus19,2023,dollar/MWh,0.01
bus190,bus192,2023,dollar/MWh,0.01
bus192,bus190,2023,dollar/MWh,0.01
bus190,bus221,2023,dollar/MWh,0.01
bus221,bus190,2023,dollar/MWh,0.01
bus191,bus189,2023,dollar/MWh,0.01
bus189,bus191,2023,dollar/MWh,0.01
bus191,bus220,2023,dollar/MWh,0.01
bus220,bus191,2023,dollar/MWh,0.01
bus192,bus216,2023,dollar/MWh,0.01
bus216,bus192,2023,dollar/MWh,0.01
bus192,bus229,2023,dollar/MWh,0.01
bus229,bus192,2023,dollar/MWh,0.01
bus193,bus187,2023,dollar/MWh,0.01
bus187,bus193,2023,dollar/MWh,0.01
bus194,bus188,2023,dollar/MWh,0.01
bus188,bus194,2023,dollar/MWh,0.01
bus195,bus196,2023,dollar/MWh,0.01
bus196,bus195,2023,dollar/MWh,0.01
bus196,bus202,2023,dollar/MWh,0.01
bus202,bus196,2023,dollar/MWh,0.01
bus199,bus198,2023,dollar/MWh,0.01
bus198,bus199,2023,dollar/MWh,0.01
bus2,bus3,2023,dollar/MWh,0.01
bus3,bus2,2023,dollar/MWh,0.01
bus2,bus8,2023,dollar/MWh,0.01
bus8,bus2,2023,dollar/MWh,0.01
bus2,bus9,2023,dollar/MWh,0.01
bus9,bus2,2023,dollar/MWh,0.01
bus200,bus198,2023,dollar/MWh,0.01
bus198,bus200,2023,dollar/MWh,0.01
bus202,bus197,2023,dollar/MWh,0.01
bus197,bus202,2023,dollar/MWh,0.01
bus203,bus202,2023,dollar/MWh,0.01
bus202,bus203,2023,dollar/MWh,0.01
bus204,bus205,2023,dollar/MWh,0.01
bus205,bus204,2023,dollar/MWh,0.01
bus205,bus207,2023,dollar/MWh,0.01
bus207,bus205,2023,dollar/MWh,0.01
bus206,bus205,2023,dollar/MWh,0.01
bus205,bus206,2023,dollar/MWh,0.01
bus207,bus208,2023,dollar/MWh,0.01
bus208,bus207,2023,dollar/MWh,0.01
bus208,bus387,2023,dollar/MWh,0.01
bus387,bus208,2023,dollar/MWh,0.01
bus209,bus405,2023,dollar/MWh,0.01
bus405,bus209,2023,dollar/MWh,0.01
bus21,bus7,2023,dollar/MWh,0.01
bus7,bus21,2023,dollar/MWh,0.01
bus210,bus403,2023,dollar/MWh,0.01
bus403,bus210,2023,dollar/MWh,0.01
bus211,bus229,2023,dollar/MWh,0.01
bus229,bus211,2023,dollar/MWh,0.01
bus213,bus358,2023,dollar/MWh,0.01
bus358,bus213,2023,dollar/MWh,0.01
bus214,bus231,2023,dollar/MWh,0.01
bus231,bus214,2023,dollar/MWh,0.01
bus216,bus217,2023,dollar/MWh,0.01
bus217,bus216,2023,dollar/MWh,0.01
bus216,bus388,2023,dollar/MWh,0.01
bus388,bus216,2023,dollar/MWh,0.01
bus217,bus218,2023,dollar/MWh,0.01
bus218,bus217,2023,dollar/MWh,0.01
bus218,bus220,2023,dollar/MWh,0.01
bus220,bus218,2023,dollar/MWh,0.01
bus22,bus17,2023,dollar/MWh,0.01
bus17,bus22,2023,dollar/MWh,0.01
bus22,bus58,2023,dollar/MWh,0.01
bus58,bus22,2023,dollar/MWh,0.01
bus221,bus220,2023,dollar/MWh,0.01
bus220,bus221,2023,dollar/MWh,0.01
bus221,bus224,2023,dollar/MWh,0.01
bus224,bus221,2023,dollar/MWh,0.01
bus222,bus225,2023,dollar/MWh,0.01
bus225,bus222,2023,dollar/MWh,0.01
bus222,bus261,2023,dollar/MWh,0.01
bus261,bus222,2023,dollar/MWh,0.01
bus222,bus268,2023,dollar/MWh,0.01
bus268,bus222,2023,dollar/MWh,0.01
bus223,bus222,2023,dollar/MWh,0.01
bus222,bus223,2023,dollar/MWh,0.01
bus223,bus229,2023,dollar/MWh,0.01
bus229,bus223,2023,dollar/MWh,0.01
bus224,bus114,2023,dollar/MWh,0.01
bus114,bus224,2023,dollar/MWh,0.01
bus224,bus180,2023,dollar/MWh,0.01
bus180,bus224,2023,dollar/MWh,0.01
bus224,bus223,2023,dollar/MWh,0.01
bus223,bus224,2023,dollar/MWh,0.01
bus226,bus227,2023,dollar/MWh,0.01
bus227,bus226,2023,dollar/MWh,0.01
bus226,bus228,2023,dollar/MWh,0.01
bus228,bus226,2023,dollar/MWh,0.01
bus227,bus225,2023,dollar/MWh,0.01
bus225,bus227,2023,dollar/MWh,0.01
bus227,bus229,2023,dollar/MWh,0.01
bus229,bus227,2023,dollar/MWh,0.01
bus229,bus214,2023,dollar/MWh,0.01
bus214,bus229,2023,dollar/MWh,0.01
bus229,bus215,2023,dollar/MWh,0.01
bus215,bus229,2023,dollar/MWh,0.01
bus229,bus219,2023,dollar/MWh,0.01
bus219,bus229,2023,dollar/MWh,0.01
bus229,bus233,2023,dollar/MWh,0.01
bus233,bus229,2023,dollar/MWh,0.01
bus229,bus234,2023,dollar/MWh,0.01
