zone,year,unit,value
BA1,2020,fraction,0.07
BA2,2020,fraction,0.07
BA3,2020,fraction,0.07
BA1,2021,fraction,0.07
BA2,2021,fraction,0.07
BA3,2021,fraction,0.07
BA1,2022,fraction,0.07
BA2,2022,fraction,0.07
BA3,2022,fraction,0.07
BA1,2023,fraction,0.07
BA2,2023,fraction,0.07
BA3,2023,fraction,0.07
BA1,2024,fraction,0.07
BA2,2024,fraction,0.07
BA3,2024,fraction,0.07
BA1,2025,fraction,0.07
BA2,2025,fraction,0.07
BA3,2025,fraction,0.07
BA1,2026,fraction,0.07
BA2,2026,fraction,0.07
BA3,2026,fraction,0.07
BA1,2027,fraction,0.07
BA2,2027,fraction,0.07
BA3,2027,fraction,0.07
BA1,2028,fraction,0.07
BA2,2028,fraction,0.07
BA3,2028,fraction,0.07
BA1,2029,fraction,0.07
BA2,2029,fraction,0.07
BA3,2029,fraction,0.07
BA1,2030,fraction,0.07
BA2,2030,fraction,0.07
BA3,2030,fraction,0.07
