tech,tailrace_level,discharge
Grand_Coulee,291.0,0
Grand_Coulee,291.1,1000
Grand_Coulee,297.0,6920
Chief_Joseph,237.3,0
Chief_Joseph,237.3,1000
Chief_Joseph,241.0,7073
Wells,215.0,0
Wells,215.0,500
Wells,220.9,7804
Rocky_Reach,214.6,0
Rocky_Reach,214.9,400
Rocky_Reach,220.9,7917
Rock_Island,172.5,0
Rock_Island,172.5,100
Rock_Island,176.4,7942
Wanapum,147.9,0
Wanapum,152.2,8662
Priest_Rapids,123.0,0
Priest_Rapids,123.0,1000
Priest_Rapids,129.3,8936
Lower_Granite,193.8,0
Lower_Granite,193.8,4995
Little_Goose,164.2,0
Little_Goose,164.2,4819
Lower_Monumental,133.7,0
Lower_Monumental,133.7,500
Lower_Monumental,134.6,5006
Ice_Harbor,103.3,0
Ice_Harbor,103.3,300
Ice_Harbor,107.2,5142
McNary,80.5,0
McNary,80.5,2000
McNary,82.7,12895
John_Day,48.6,0
John_Day,48.6,2000
John_Day,50.8,13226
The_Dalles,22.7,0
The_Dalles,22.7,1721
The_Dalles,26.1,12847
Bonneville,2.8,0
Bonneville,2.8,2109
Bonneville,10.5,13156
