zone,tech,year,unit,value
BA1,Coal,2020,MW,inf
BA1,Coal,2021,MW,inf
BA1,Coal,2022,MW,inf
BA1,Coal,2023,MW,inf
BA1,Coal,2024,MW,inf
BA1,Coal,2025,MW,inf
BA1,Coal,2026,MW,inf
BA1,Coal,2027,MW,inf
BA1,Coal,2028,MW,inf
BA1,Coal,2029,MW,inf
BA1,Coal,2030,MW,inf
BA1,Solar,2020,MW,inf
BA1,Solar,2021,MW,inf
BA1,Solar,2022,MW,inf
BA1,Solar,2023,MW,inf
BA1,Solar,2024,MW,inf
BA1,Solar,2025,MW,inf
BA1,Solar,2026,MW,inf
BA1,Solar,2027,MW,inf
BA1,Solar,2028,MW,inf
BA1,Solar,2029,MW,inf
BA1,Solar,2030,MW,inf
BA1,Wind,2020,MW,inf
BA1,Wind,2021,MW,inf
BA1,Wind,2022,MW,inf
BA1,Wind,2023,MW,inf
BA1,Wind,2024,MW,inf
BA1,Wind,2025,MW,inf
BA1,Wind,2026,MW,inf
BA1,Wind,2027,MW,inf
BA1,Wind,2028,MW,inf
BA1,Wind,2029,MW,inf
BA1,Wind,2030,MW,inf
BA1,Storage,2020,MW,inf
BA1,Storage,2021,MW,inf
BA1,Storage,2022,MW,inf
BA1,Storage,2023,MW,inf
BA1,Storage,2024,MW,inf
BA1,Storage,2025,MW,inf
BA1,Storage,2026,MW,inf
BA1,Storage,2027,MW,inf
BA1,Storage,2028,MW,inf
BA1,Storage,2029,MW,inf
BA1,Storage,2030,MW,inf
BA2,Coal,2020,MW,inf
BA2,Coal,2021,MW,inf
BA2,Coal,2022,MW,inf
BA2,Coal,2023,MW,inf
BA2,Coal,2024,MW,inf
BA2,Coal,2025,MW,inf
BA2,Coal,2026,MW,inf
BA2,Coal,2027,MW,inf
BA2,Coal,2028,MW,inf
BA2,Coal,2029,MW,inf
BA2,Coal,2030,MW,inf
BA2,Solar,2020,MW,inf
BA2,Solar,2021,MW,inf
BA2,Solar,2022,MW,inf
BA2,Solar,2023,MW,inf
BA2,Solar,2024,MW,inf
BA2,Solar,2025,MW,inf
BA2,Solar,2026,MW,inf
BA2,Solar,2027,MW,inf
BA2,Solar,2028,MW,inf
BA2,Solar,2029,MW,inf
BA2,Solar,2030,MW,inf
BA2,Wind,2020,MW,inf
BA2,Wind,2021,MW,inf
BA2,Wind,2022,MW,inf
BA2,Wind,2023,MW,inf
BA2,Wind,2024,MW,inf
BA2,Wind,2025,MW,inf
BA2,Wind,2026,MW,inf
BA2,Wind,2027,MW,inf
BA2,Wind,2028,MW,inf
BA2,Wind,2029,MW,inf
BA2,Wind,2030,MW,inf
BA2,Storage,2020,MW,inf
BA2,Storage,2021,MW,inf
BA2,Storage,2022,MW,inf
BA2,Storage,2023,MW,inf
BA2,Storage,2024,MW,inf
BA2,Storage,2025,MW,inf
BA2,Storage,2026,MW,inf
BA2,Storage,2027,MW,inf
BA2,Storage,2028,MW,inf
BA2,Storage,2029,MW,inf
BA2,Storage,2030,MW,inf
BA3,Coal,2020,MW,inf
BA3,Coal,2021,MW,inf
BA3,Coal,2022,MW,inf
BA3,Coal,2023,MW,inf
BA3,Coal,2024,MW,inf
BA3,Coal,2025,MW,inf
BA3,Coal,2026,MW,inf
BA3,Coal,2027,MW,inf
BA3,Coal,2028,MW,inf
BA3,Coal,2029,MW,inf
BA3,Coal,2030,MW,inf
BA3,Solar,2020,MW,inf
BA3,Solar,2021,MW,inf
BA3,Solar,2022,MW,inf
BA3,Solar,2023,MW,inf
BA3,Solar,2024,MW,inf
BA3,Solar,2025,MW,inf
BA3,Solar,2026,MW,inf
BA3,Solar,2027,MW,inf
BA3,Solar,2028,MW,inf
BA3,Solar,2029,MW,inf
BA3,Solar,2030,MW,inf
BA3,Wind,2020,MW,inf
BA3,Wind,2021,MW,inf
BA3,Wind,2022,MW,inf
BA3,Wind,2023,MW,inf
BA3,Wind,2024,MW,inf
BA3,Wind,2025,MW,inf
BA3,Wind,2026,MW,inf
BA3,Wind,2027,MW,inf
BA3,Wind,2028,MW,inf
BA3,Wind,2029,MW,inf
BA3,Wind,2030,MW,inf
BA3,Storage,2020,MW,inf
BA3,Storage,2021,MW,inf
BA3,Storage,2022,MW,inf
BA3,Storage,2023,MW,inf
BA3,Storage,2024,MW,inf
BA3,Storage,2025,MW,inf
BA3,Storage,2026,MW,inf
BA3,Storage,2027,MW,inf
BA3,Storage,2028,MW,inf
BA3,Storage,2029,MW,inf
BA3,Storage,2030,MW,inf
BA1,Grand_Coulee,2020,MW,11355.0
BA1,Grand_Coulee,2021,MW,11355.0
BA1,Grand_Coulee,2022,MW,11355.0
BA1,Grand_Coulee,2023,MW,11355.0
BA1,Grand_Coulee,2024,MW,11355.0
BA1,Grand_Coulee,2025,MW,11355.0
BA1,Grand_Coulee,2026,MW,11355.0
BA1,Grand_Coulee,2027,MW,11355.0
BA1,Grand_Coulee,2028,MW,11355.0
BA1,Grand_Coulee,2029,MW,11355.0
BA1,Grand_Coulee,2030,MW,11355.0
BA2,Grand_Coulee,2020,MW,2804.0
BA2,Grand_Coulee,2021,MW,2804.0
BA2,Grand_Coulee,2022,MW,2804.0
BA2,Grand_Coulee,2023,MW,2804.0
BA2,Grand_Coulee,2024,MW,2804.0
BA2,Grand_Coulee,2025,MW,2804.0
BA2,Grand_Coulee,2026,MW,2804.0
BA2,Grand_Coulee,2027,MW,2804.0
BA2,Grand_Coulee,2028,MW,2804.0
BA2,Grand_Coulee,2029,MW,2804.0
BA2,Grand_Coulee,2030,MW,2804.0
BA3,Grand_Coulee,2020,MW,5300.0
BA3,Grand_Coulee,2021,MW,5300.0
BA3,Grand_Coulee,2022,MW,5300.0
BA3,Grand_Coulee,2023,MW,5300.0
BA3,Grand_Coulee,2024,MW,5300.0
BA3,Grand_Coulee,2025,MW,5300.0
BA3,Grand_Coulee,2026,MW,5300.0
BA3,Grand_Coulee,2027,MW,5300.0
BA3,Grand_Coulee,2028,MW,5300.0
BA3,Grand_Coulee,2029,MW,5300.0
BA3,Grand_Coulee,2030,MW,5300.0
BA1,Chief_Joseph,2020,MW,11355.0
BA1,Chief_Joseph,2021,MW,11355.0
BA1,Chief_Joseph,2022,MW,11355.0
BA1,Chief_Joseph,2023,MW,11355.0
