tech,year,unit,value
Coal,2020,USD/tonne,172.0
Coal,2021,USD/tonne,172.0
Coal,2022,USD/tonne,172.0
Coal,2023,USD/tonne,172.0
Coal,2024,USD/tonne,172.0
Coal,2025,USD/tonne,172.0
Coal,2026,USD/tonne,172.0
Coal,2027,USD/tonne,172.0
Coal,2028,USD/tonne,172.0
Coal,2029,USD/tonne,172.0
Coal,2030,USD/tonne,172.0
Solar,2020,USD/tonne,0.0
Solar,2021,USD/tonne,0.0
Solar,2022,USD/tonne,0.0
Solar,2023,USD/tonne,0.0
Solar,2024,USD/tonne,0.0
Solar,2025,USD/tonne,0.0
Solar,2026,USD/tonne,0.0
Solar,2027,USD/tonne,0.0
Solar,2028,USD/tonne,0.0
Solar,2029,USD/tonne,0.0
Solar,2030,USD/tonne,0.0
Wind,2020,USD/tonne,0.0
Wind,2021,USD/tonne,0.0
Wind,2022,USD/tonne,0.0
Wind,2023,USD/tonne,0.0
Wind,2024,USD/tonne,0.0
Wind,2025,USD/tonne,0.0
Wind,2026,USD/tonne,0.0
Wind,2027,USD/tonne,0.0
Wind,2028,USD/tonne,0.0
Wind,2029,USD/tonne,0.0
Wind,2030,USD/tonne,0.0
Storage,2020,USD/tonne,0.0
Storage,2021,USD/tonne,0.0
Storage,2022,USD/tonne,0.0
Storage,2023,USD/tonne,0.0
Storage,2024,USD/tonne,0.0
Storage,2025,USD/tonne,0.0
Storage,2026,USD/tonne,0.0
Storage,2027,USD/tonne,0.0
Storage,2028,USD/tonne,0.0
Storage,2029,USD/tonne,0.0
Storage,2030,USD/tonne,0.0
Grand_Coulee,2020,USD/tonne,0.0
Grand_Coulee,2021,USD/tonne,0.0
Grand_Coulee,2022,USD/tonne,0.0
Grand_Coulee,2023,USD/tonne,0.0
Grand_Coulee,2024,USD/tonne,0.0
Grand_Coulee,2025,USD/tonne,0.0
Grand_Coulee,2026,USD/tonne,0.0
Grand_Coulee,2027,USD/tonne,0.0
Grand_Coulee,2028,USD/tonne,0.0
Grand_Coulee,2029,USD/tonne,0.0
Grand_Coulee,2030,USD/tonne,0.0
Chief_Joseph,2020,USD/tonne,0.0
Chief_Joseph,2021,USD/tonne,0.0
Chief_Joseph,2022,USD/tonne,0.0
Chief_Joseph,2023,USD/tonne,0.0
Chief_Joseph,2024,USD/tonne,0.0
Chief_Joseph,2025,USD/tonne,0.0
Chief_Joseph,2026,USD/tonne,0.0
Chief_Joseph,2027,USD/tonne,0.0
Chief_Joseph,2028,USD/tonne,0.0
Chief_Joseph,2029,USD/tonne,0.0
Chief_Joseph,2030,USD/tonne,0.0
Wells,2020,USD/tonne,0.0
Wells,2021,USD/tonne,0.0
Wells,2022,USD/tonne,0.0
Wells,2023,USD/tonne,0.0
Wells,2024,USD/tonne,0.0
Wells,2025,USD/tonne,0.0
Wells,2026,USD/tonne,0.0
Wells,2027,USD/tonne,0.0
Wells,2028,USD/tonne,0.0
Wells,2029,USD/tonne,0.0
Wells,2030,USD/tonne,0.0
Rocky_Reach,2020,USD/tonne,0.0
Rocky_Reach,2021,USD/tonne,0.0
Rocky_Reach,2022,USD/tonne,0.0
Rocky_Reach,2023,USD/tonne,0.0
Rocky_Reach,2024,USD/tonne,0.0
Rocky_Reach,2025,USD/tonne,0.0
Rocky_Reach,2026,USD/tonne,0.0
Rocky_Reach,2027,USD/tonne,0.0
Rocky_Reach,2028,USD/tonne,0.0
Rocky_Reach,2029,USD/tonne,0.0
Rocky_Reach,2030,USD/tonne,0.0
Rock_Island,2020,USD/tonne,0.0
Rock_Island,2021,USD/tonne,0.0
Rock_Island,2022,USD/tonne,0.0
Rock_Island,2023,USD/tonne,0.0
Rock_Island,2024,USD/tonne,0.0
Rock_Island,2025,USD/tonne,0.0
Rock_Island,2026,USD/tonne,0.0
Rock_Island,2027,USD/tonne,0.0
Rock_Island,2028,USD/tonne,0.0
Rock_Island,2029,USD/tonne,0.0
Rock_Island,2030,USD/tonne,0.0
Wanapum,2020,USD/tonne,0.0
Wanapum,2021,USD/tonne,0.0
Wanapum,2022,USD/tonne,0.0
Wanapum,2023,USD/tonne,0.0
Wanapum,2024,USD/tonne,0.0
Wanapum,2025,USD/tonne,0.0
Wanapum,2026,USD/tonne,0.0
Wanapum,2027,USD/tonne,0.0
Wanapum,2028,USD/tonne,0.0
Wanapum,2029,USD/tonne,0.0
Wanapum,2030,USD/tonne,0.0
Priest_Rapids,2020,USD/tonne,0.0
Priest_Rapids,2021,USD/tonne,0.0
Priest_Rapids,2022,USD/tonne,0.0
Priest_Rapids,2023,USD/tonne,0.0
Priest_Rapids,2024,USD/tonne,0.0
Priest_Rapids,2025,USD/tonne,0.0
Priest_Rapids,2026,USD/tonne,0.0
Priest_Rapids,2027,USD/tonne,0.0
Priest_Rapids,2028,USD/tonne,0.0
Priest_Rapids,2029,USD/tonne,0.0
Priest_Rapids,2030,USD/tonne,0.0
Lower_Granite,2020,USD/tonne,0.0
Lower_Granite,2021,USD/tonne,0.0
Lower_Granite,2022,USD/tonne,0.0
Lower_Granite,2023,USD/tonne,0.0
Lower_Granite,2024,USD/tonne,0.0
Lower_Granite,2025,USD/tonne,0.0
Lower_Granite,2026,USD/tonne,0.0
Lower_Granite,2027,USD/tonne,0.0
Lower_Granite,2028,USD/tonne,0.0
Lower_Granite,2029,USD/tonne,0.0
