tech,year,unit,value
Coal,2020,USD/MW,3589000.0
Coal,2021,USD/MW,3545004.0
Coal,2022,USD/MW,3501704.0
Coal,2023,USD/MW,3447420.0
Coal,2024,USD/MW,3384351.0
Coal,2025,USD/MW,3332662.0
Coal,2026,USD/MW,3246291.0
Coal,2027,USD/MW,3210895.42857143
Coal,2028,USD/MW,3154818.14285714
Coal,2029,USD/MW,3098740.85714286
Coal,2030,USD/MW,3042663.57142857
Solar,2020,USD/MW,4599000.0
Solar,2021,USD/MW,3147529.0
Solar,2022,USD/MW,2404229.0
Solar,2023,USD/MW,2297445.0
Solar,2024,USD/MW,2190660.0
Solar,2025,USD/MW,2083875.0
Solar,2026,USD/MW,1977091.0
Solar,2027,USD/MW,1213317.85714286
Solar,2028,USD/MW,848796.285714287
Solar,2029,USD/MW,484274.714285717
Solar,2030,USD/MW,119753.142857146
Wind,2020,USD/MW,7600000.0
Wind,2021,USD/MW,6630363.0
Wind,2022,USD/MW,5809170.0
Wind,2023,USD/MW,5574378.0
Wind,2024,USD/MW,5333773.0
Wind,2025,USD/MW,5087357.0
Wind,2026,USD/MW,4835128.0
Wind,2027,USD/MW,4144877.71428571
Wind,2028,USD/MW,3721448.25
Wind,2029,USD/MW,3298018.78571428
Wind,2030,USD/MW,2874589.32142856
Storage,2020,USD/MW,4766000.0
Storage,2021,USD/MW,4766000.0
Storage,2022,USD/MW,4766000.0
Storage,2023,USD/MW,4766000.0
Storage,2024,USD/MW,4766000.0
Storage,2025,USD/MW,4766000.0
Storage,2026,USD/MW,4766000.0
Storage,2027,USD/MW,4766000.0
Storage,2028,USD/MW,4766000.0
Storage,2029,USD/MW,4766000.0
Storage,2030,USD/MW,4766000.0
Grand_Coulee,2020,USD/MW,10666000.0
Grand_Coulee,2021,USD/MW,10666000.0
Grand_Coulee,2022,USD/MW,10666000.0
Grand_Coulee,2023,USD/MW,10666000.0
Grand_Coulee,2024,USD/MW,10666000.0
Grand_Coulee,2025,USD/MW,10666000.0
Grand_Coulee,2026,USD/MW,10666000.0
Grand_Coulee,2027,USD/MW,10666000.0
Grand_Coulee,2028,USD/MW,10666000.0
Grand_Coulee,2029,USD/MW,10666000.0
Grand_Coulee,2030,USD/MW,10666000.0
Chief_Joseph,2020,USD/MW,10666000.0
Chief_Joseph,2021,USD/MW,10666000.0
Chief_Joseph,2022,USD/MW,10666000.0
Chief_Joseph,2023,USD/MW,10666000.0
Chief_Joseph,2024,USD/MW,10666000.0
Chief_Joseph,2025,USD/MW,10666000.0
Chief_Joseph,2026,USD/MW,10666000.0
Chief_Joseph,2027,USD/MW,10666000.0
Chief_Joseph,2028,USD/MW,10666000.0
Chief_Joseph,2029,USD/MW,10666000.0
Chief_Joseph,2030,USD/MW,10666000.0
Wells,2020,USD/MW,10666000.0
Wells,2021,USD/MW,10666000.0
Wells,2022,USD/MW,10666000.0
Wells,2023,USD/MW,10666000.0
Wells,2024,USD/MW,10666000.0
Wells,2025,USD/MW,10666000.0
Wells,2026,USD/MW,10666000.0
Wells,2027,USD/MW,10666000.0
Wells,2028,USD/MW,10666000.0
Wells,2029,USD/MW,10666000.0
Wells,2030,USD/MW,10666000.0
Rocky_Reach,2020,USD/MW,10666000.0
Rocky_Reach,2021,USD/MW,10666000.0
Rocky_Reach,2022,USD/MW,10666000.0
Rocky_Reach,2023,USD/MW,10666000.0
Rocky_Reach,2024,USD/MW,10666000.0
Rocky_Reach,2025,USD/MW,10666000.0
Rocky_Reach,2026,USD/MW,10666000.0
Rocky_Reach,2027,USD/MW,10666000.0
Rocky_Reach,2028,USD/MW,10666000.0
Rocky_Reach,2029,USD/MW,10666000.0
Rocky_Reach,2030,USD/MW,10666000.0
Rock_Island,2020,USD/MW,10666000.0
Rock_Island,2021,USD/MW,10666000.0
Rock_Island,2022,USD/MW,10666000.0
Rock_Island,2023,USD/MW,10666000.0
Rock_Island,2024,USD/MW,10666000.0
Rock_Island,2025,USD/MW,10666000.0
Rock_Island,2026,USD/MW,10666000.0
Rock_Island,2027,USD/MW,10666000.0
Rock_Island,2028,USD/MW,10666000.0
Rock_Island,2029,USD/MW,10666000.0
Rock_Island,2030,USD/MW,10666000.0
Wanapum,2020,USD/MW,10666000.0
Wanapum,2021,USD/MW,10666000.0
Wanapum,2022,USD/MW,10666000.0
Wanapum,2023,USD/MW,10666000.0
Wanapum,2024,USD/MW,10666000.0
Wanapum,2025,USD/MW,10666000.0
Wanapum,2026,USD/MW,10666000.0
Wanapum,2027,USD/MW,10666000.0
Wanapum,2028,USD/MW,10666000.0
Wanapum,2029,USD/MW,10666000.0
Wanapum,2030,USD/MW,10666000.0
Priest_Rapids,2020,USD/MW,10666000.0
Priest_Rapids,2021,USD/MW,10666000.0
Priest_Rapids,2022,USD/MW,10666000.0
