tech,product,eligible
Coal,regulation_up,1
Coal,regulation_down,1
Coal,spinning,1
Coal,non_spinning,1
Solar,regulation_up,0
Solar,regulation_down,0
Solar,spinning,0
Solar,non_spinning,0
Wind,regulation_up,0
Wind,regulation_down,0
Wind,spinning,0
Wind,non_spinning,0
Storage,regulation_up,0
Storage,regulation_down,0
Storage,spinning,0
Storage,non_spinning,0
Grand_Coulee,regulation_up,1
Grand_Coulee,regulation_down,1
Grand_Coulee,spinning,1
Grand_Coulee,non_spinning,1
Chief_Joseph,regulation_up,1
Chief_Joseph,regulation_down,1
Chief_Joseph,spinning,1
Chief_Joseph,non_spinning,1
Wells,regulation_up,1
Wells,regulation_down,1
Wells,spinning,1
Wells,non_spinning,1
Rocky_Reach,regulation_up,1
Rocky_Reach,regulation_down,1
Rocky_Reach,spinning,1
Rocky_Reach,non_spinning,1
Rock_Island,regulation_up,1
Rock_Island,regulation_down,1
Rock_Island,spinning,1
Rock_Island,non_spinning,1
Wanapum,regulation_up,1
Wanapum,regulation_down,1
Wanapum,spinning,1
Wanapum,non_spinning,1
Priest_Rapids,regulation_up,1
Priest_Rapids,regulation_down,1
Priest_Rapids,spinning,1
Priest_Rapids,non_spinning,1
Lower_Granite,regulation_up,1
Lower_Granite,regulation_down,1
Lower_Granite,spinning,1
Lower_Granite,non_spinning,1
Little_Goose,regulation_up,1
Little_Goose,regulation_down,1
Little_Goose,spinning,1
Little_Goose,non_spinning,1
Lower_Monumental,regulation_up,1
Lower_Monumental,regulation_down,1
Lower_Monumental,spinning,1
Lower_Monumental,non_spinning,1
Ice_Harbor,regulation_up,1
Ice_Harbor,regulation_down,1
Ice_Harbor,spinning,1
Ice_Harbor,non_spinning,1
McNary,regulation_up,1
McNary,regulation_down,1
McNary,spinning,1
McNary,non_spinning,1
John_Day,regulation_up,1
John_Day,regulation_down,1
John_Day,spinning,1
John_Day,non_spinning,1
The_Dalles,regulation_up,1
The_Dalles,regulation_down,1
The_Dalles,spinning,1
The_Dalles,non_spinning,1
Bonneville,regulation_up,1
Bonneville,regulation_down,1
Bonneville,spinning,1
Bonneville,non_spinning,1
