zone1,zone2,year,unit,value
BA1,BA1,2020,USD/MWh,0.1
BA1,BA1,2021,USD/MWh,0.1
BA1,BA1,2022,USD/MWh,0.1
BA1,BA1,2023,USD/MWh,0.1
BA1,BA1,2024,USD/MWh,0.1
BA1,BA1,2025,USD/MWh,0.1
BA1,BA1,2026,USD/MWh,0.1
BA1,BA1,2027,USD/MWh,0.1
BA1,BA1,2028,USD/MWh,0.1
BA1,BA1,2029,USD/MWh,0.1
BA1,BA1,2030,USD/MWh,0.1
BA1,BA2,2020,USD/MWh,0.1
BA1,BA2,2021,USD/MWh,0.1
BA1,BA2,2022,USD/MWh,0.1
BA1,BA2,2023,USD/MWh,0.1
BA1,BA2,2024,USD/MWh,0.1
BA1,BA2,2025,USD/MWh,0.1
BA1,BA2,2026,USD/MWh,0.1
BA1,BA2,2027,USD/MWh,0.1
BA1,BA2,2028,USD/MWh,0.1
BA1,BA2,2029,USD/MWh,0.1
BA1,BA2,2030,USD/MWh,0.1
BA1,BA3,2020,USD/MWh,0.1
BA1,BA3,2021,USD/MWh,0.1
BA1,BA3,2022,USD/MWh,0.1
BA1,BA3,2023,USD/MWh,0.1
BA1,BA3,2024,USD/MWh,0.1
BA1,BA3,2025,USD/MWh,0.1
BA1,BA3,2026,USD/MWh,0.1
BA1,BA3,2027,USD/MWh,0.1
BA1,BA3,2028,USD/MWh,0.1
BA1,BA3,2029,USD/MWh,0.1
BA1,BA3,2030,USD/MWh,0.1
BA2,BA1,2020,USD/MWh,0.1
BA2,BA1,2021,USD/MWh,0.1
BA2,BA1,2022,USD/MWh,0.1
BA2,BA1,2023,USD/MWh,0.1
BA2,BA1,2024,USD/MWh,0.1
BA2,BA1,2025,USD/MWh,0.1
BA2,BA1,2026,USD/MWh,0.1
BA2,BA1,2027,USD/MWh,0.1
BA2,BA1,2028,USD/MWh,0.1
BA2,BA1,2029,USD/MWh,0.1
BA2,BA1,2030,USD/MWh,0.1
BA2,BA2,2020,USD/MWh,0.1
BA2,BA2,2021,USD/MWh,0.1
BA2,BA2,2022,USD/MWh,0.1
BA2,BA2,2023,USD/MWh,0.1
BA2,BA2,2024,USD/MWh,0.1
BA2,BA2,2025,USD/MWh,0.1
BA2,BA2,2026,USD/MWh,0.1
BA2,BA2,2027,USD/MWh,0.1
BA2,BA2,2028,USD/MWh,0.1
BA2,BA2,2029,USD/MWh,0.1
BA2,BA2,2030,USD/MWh,0.1
BA2,BA3,2020,USD/MWh,0.1
BA2,BA3,2021,USD/MWh,0.1
BA2,BA3,2022,USD/MWh,0.1
BA2,BA3,2023,USD/MWh,0.1
BA2,BA3,2024,USD/MWh,0.1
BA2,BA3,2025,USD/MWh,0.1
BA2,BA3,2026,USD/MWh,0.1
BA2,BA3,2027,USD/MWh,0.1
BA2,BA3,2028,USD/MWh,0.1
BA2,BA3,2029,USD/MWh,0.1
BA2,BA3,2030,USD/MWh,0.1
BA3,BA1,2020,USD/MWh,0.1
BA3,BA1,2021,USD/MWh,0.1
BA3,BA1,2022,USD/MWh,0.1
BA3,BA1,2023,USD/MWh,0.1
BA3,BA1,2024,USD/MWh,0.1
BA3,BA1,2025,USD/MWh,0.1
BA3,BA1,2026,USD/MWh,0.1
BA3,BA1,2027,USD/MWh,0.1
BA3,BA1,2028,USD/MWh,0.1
BA3,BA1,2029,USD/MWh,0.1
BA3,BA1,2030,USD/MWh,0.1
BA3,BA2,2020,USD/MWh,0.1
BA3,BA2,2021,USD/MWh,0.1
BA3,BA2,2022,USD/MWh,0.1
BA3,BA2,2023,USD/MWh,0.1
BA3,BA2,2024,USD/MWh,0.1
BA3,BA2,2025,USD/MWh,0.1
BA3,BA2,2026,USD/MWh,0.1
BA3,BA2,2027,USD/MWh,0.1
BA3,BA2,2028,USD/MWh,0.1
BA3,BA2,2029,USD/MWh,0.1
BA3,BA2,2030,USD/MWh,0.1
BA3,BA3,2020,USD/MWh,0.1
BA3,BA3,2021,USD/MWh,0.1
BA3,BA3,2022,USD/MWh,0.1
BA3,BA3,2023,USD/MWh,0.1
BA3,BA3,2024,USD/MWh,0.1
BA3,BA3,2025,USD/MWh,0.1
BA3,BA3,2026,USD/MWh,0.1
BA3,BA3,2027,USD/MWh,0.1
BA3,BA3,2028,USD/MWh,0.1
BA3,BA3,2029,USD/MWh,0.1
BA3,BA3,2030,USD/MWh,0.1
