tech,zone,year,month,hour,unit,value
Solar,BA1,2020,1,1,fraction,0.0
Solar,BA1,2020,1,2,fraction,0.0
Solar,BA1,2020,1,3,fraction,0.0
Solar,BA1,2020,1,4,fraction,0.0
Solar,BA1,2020,1,5,fraction,0.0
Solar,BA1,2020,1,6,fraction,0.0
Solar,BA1,2020,1,7,fraction,0.0
Solar,BA1,2020,1,8,fraction,0.0
Solar,BA1,2020,1,9,fraction,0.011
Solar,BA1,2020,1,10,fraction,0.046
Solar,BA1,2020,1,11,fraction,0.09
Solar,BA1,2020,1,12,fraction,0.15
Solar,BA1,2020,1,13,fraction,0.223
Solar,BA1,2020,1,14,fraction,0.217
Solar,BA1,2020,1,15,fraction,0.2
Solar,BA1,2020,1,16,fraction,0.09
Solar,BA1,2020,1,17,fraction,0.0
Solar,BA1,2020,1,18,fraction,0.0
Solar,BA1,2020,1,19,fraction,0.0
Solar,BA1,2020,1,20,fraction,0.0
Solar,BA1,2020,1,21,fraction,0.0
Solar,BA1,2020,1,22,fraction,0.0
Solar,BA1,2020,1,23,fraction,0.0
Solar,BA1,2020,1,24,fraction,0.0
Solar,BA1,2020,1,25,fraction,0.0
Solar,BA1,2020,1,26,fraction,0.0
Solar,BA1,2020,1,27,fraction,0.0
Solar,BA1,2020,1,28,fraction,0.0
Solar,BA1,2020,1,29,fraction,0.0
Solar,BA1,2020,1,30,fraction,0.0
Solar,BA1,2020,1,31,fraction,0.0
Solar,BA1,2020,1,32,fraction,0.001
Solar,BA1,2020,1,33,fraction,0.13
Solar,BA1,2020,1,34,fraction,0.155
Solar,BA1,2020,1,35,fraction,0.136
Solar,BA1,2020,1,36,fraction,0.28
Solar,BA1,2020,1,37,fraction,0.421
Solar,BA1,2020,1,38,fraction,0.468
Solar,BA1,2020,1,39,fraction,0.333
Solar,BA1,2020,1,40,fraction,0.114
Solar,BA1,2020,1,41,fraction,0.0
Solar,BA1,2020,1,42,fraction,0.0
Solar,BA1,2020,1,43,fraction,0.0
Solar,BA1,2020,1,44,fraction,0.0
Solar,BA1,2020,1,45,fraction,0.0
Solar,BA1,2020,1,46,fraction,0.0
Solar,BA1,2020,1,47,fraction,0.0
Solar,BA1,2020,1,48,fraction,0.0
Solar,BA1,2021,1,1,fraction,0.0
Solar,BA1,2021,1,2,fraction,0.0
Solar,BA1,2021,1,3,fraction,0.0
Solar,BA1,2021,1,4,fraction,0.0
Solar,BA1,2021,1,5,fraction,0.0
Solar,BA1,2021,1,6,fraction,0.0
Solar,BA1,2021,1,7,fraction,0.0
Solar,BA1,2021,1,8,fraction,0.0
Solar,BA1,2021,1,9,fraction,0.011
Solar,BA1,2021,1,10,fraction,0.046
Solar,BA1,2021,1,11,fraction,0.09
Solar,BA1,2021,1,12,fraction,0.15
Solar,BA1,2021,1,13,fraction,0.223
Solar,BA1,2021,1,14,fraction,0.217
Solar,BA1,2021,1,15,fraction,0.2
Solar,BA1,2021,1,16,fraction,0.09
Solar,BA1,2021,1,17,fraction,0.0
Solar,BA1,2021,1,18,fraction,0.0
Solar,BA1,2021,1,19,fraction,0.0
Solar,BA1,2021,1,20,fraction,0.0
Solar,BA1,2021,1,21,fraction,0.0
Solar,BA1,2021,1,22,fraction,0.0
Solar,BA1,2021,1,23,fraction,0.0
Solar,BA1,2021,1,24,fraction,0.0
Solar,BA1,2021,1,25,fraction,0.0
Solar,BA1,2021,1,26,fraction,0.0
