zone,year,month,hour,unit,value
BA1,2020,1,1,MW,6903.0
BA1,2020,1,2,MW,6726.0
BA1,2020,1,3,MW,6650.0
BA1,2020,1,4,MW,6629.0
BA1,2020,1,5,MW,6689.0
BA1,2020,1,6,MW,6834.0
BA1,2020,1,7,MW,7124.0
BA1,2020,1,8,MW,7484.0
BA1,2020,1,9,MW,7687.0
BA1,2020,1,10,MW,7890.0
BA1,2020,1,11,MW,8024.0
BA1,2020,1,12,MW,7870.0
BA1,2020,1,13,MW,7653.0
BA1,2020,1,14,MW,7392.0
BA1,2020,1,15,MW,7109.0
BA1,2020,1,16,MW,7031.0
BA1,2020,1,17,MW,6972.0
BA1,2020,1,18,MW,7428.0
BA1,2020,1,19,MW,7826.0
BA1,2020,1,20,MW,7947.0
BA1,2020,1,21,MW,7832.0
BA1,2020,1,22,MW,7721.0
BA1,2020,1,23,MW,7399.0
BA1,2020,1,24,MW,6979.0
BA1,2020,1,25,MW,6549.0
BA1,2020,1,26,MW,6499.0
BA1,2020,1,27,MW,6493.0
BA1,2020,1,28,MW,6533.0
BA1,2020,1,29,MW,6686.0
BA1,2020,1,30,MW,7081.0
BA1,2020,1,31,MW,7637.0
BA1,2020,1,32,MW,8356.0
BA1,2020,1,33,MW,8671.0
BA1,2020,1,34,MW,8613.0
BA1,2020,1,35,MW,8372.0
BA1,2020,1,36,MW,8089.0
BA1,2020,1,37,MW,7851.0
BA1,2020,1,38,MW,7682.0
BA1,2020,1,39,MW,7499.0
BA1,2020,1,40,MW,7474.0
BA1,2020,1,41,MW,7523.0
BA1,2020,1,42,MW,7912.0
BA1,2020,1,43,MW,8198.0
BA1,2020,1,44,MW,8199.0
BA1,2020,1,45,MW,8065.0
BA1,2020,1,46,MW,7812.0
BA1,2020,1,47,MW,7328.0
BA1,2020,1,48,MW,6795.0
BA1,2021,1,1,MW,7006.0
BA1,2021,1,2,MW,6826.0
BA1,2021,1,3,MW,6749.0
BA1,2021,1,4,MW,6728.0
BA1,2021,1,5,MW,6789.0
BA1,2021,1,6,MW,6936.0
BA1,2021,1,7,MW,7230.0
BA1,2021,1,8,MW,7596.0
