tech,year,unit,value
Coal,2020,tonneCO2/MWh,0.832
Coal,2021,tonneCO2/MWh,0.81
Coal,2022,tonneCO2/MWh,0.791
Coal,2023,tonneCO2/MWh,0.772
Coal,2024,tonneCO2/MWh,0.753
Coal,2025,tonneCO2/MWh,0.734
Coal,2026,tonneCO2/MWh,0.715
Coal,2027,tonneCO2/MWh,0.695
Coal,2028,tonneCO2/MWh,0.676
Coal,2029,tonneCO2/MWh,0.657
Coal,2030,tonneCO2/MWh,0.637
Hydro,2020,tonneCO2/MWh,0.0
Hydro,2021,tonneCO2/MWh,0.0
Hydro,2022,tonneCO2/MWh,0.0
Hydro,2023,tonneCO2/MWh,0.0
Hydro,2024,tonneCO2/MWh,0.0
Hydro,2025,tonneCO2/MWh,0.0
Hydro,2026,tonneCO2/MWh,0.0
Hydro,2027,tonneCO2/MWh,0.0
Hydro,2028,tonneCO2/MWh,0.0
Hydro,2029,tonneCO2/MWh,0.0
Hydro,2030,tonneCO2/MWh,0.0
Solar,2020,tonneCO2/MWh,0.0
Solar,2021,tonneCO2/MWh,0.0
Solar,2022,tonneCO2/MWh,0.0
Solar,2023,tonneCO2/MWh,0.0
Solar,2024,tonneCO2/MWh,0.0
Solar,2025,tonneCO2/MWh,0.0
Solar,2026,tonneCO2/MWh,0.0
Solar,2027,tonneCO2/MWh,0.0
Solar,2028,tonneCO2/MWh,0.0
Solar,2029,tonneCO2/MWh,0.0
Solar,2030,tonneCO2/MWh,0.0
Wind,2020,tonneCO2/MWh,0.0
Wind,2021,tonneCO2/MWh,0.0
Wind,2022,tonneCO2/MWh,0.0
Wind,2023,tonneCO2/MWh,0.0
Wind,2024,tonneCO2/MWh,0.0
Wind,2025,tonneCO2/MWh,0.0
Wind,2026,tonneCO2/MWh,0.0
Wind,2027,tonneCO2/MWh,0.0
Wind,2028,tonneCO2/MWh,0.0
Wind,2029,tonneCO2/MWh,0.0
Wind,2030,tonneCO2/MWh,0.0
Storage,2020,tonneCO2/MWh,0.0
Storage,2021,tonneCO2/MWh,0.0
Storage,2022,tonneCO2/MWh,0.0
Storage,2023,tonneCO2/MWh,0.0
Storage,2024,tonneCO2/MWh,0.0
Storage,2025,tonneCO2/MWh,0.0
Storage,2026,tonneCO2/MWh,0.0
Storage,2027,tonneCO2/MWh,0.0
Storage,2028,tonneCO2/MWh,0.0
Storage,2029,tonneCO2/MWh,0.0
Storage,2030,tonneCO2/MWh,0.0
