tech,year,unit,value
Coal,2020,USD/tonne,172.0
Coal,2021,USD/tonne,172.0
Coal,2022,USD/tonne,172.0
Coal,2023,USD/tonne,172.0
Coal,2024,USD/tonne,172.0
Coal,2025,USD/tonne,172.0
Coal,2026,USD/tonne,172.0
Coal,2027,USD/tonne,172.0
Coal,2028,USD/tonne,172.0
Coal,2029,USD/tonne,172.0
Coal,2030,USD/tonne,172.0
Hydro,2020,USD/tonne,0.0
Hydro,2021,USD/tonne,0.0
Hydro,2022,USD/tonne,0.0
Hydro,2023,USD/tonne,0.0
Hydro,2024,USD/tonne,0.0
Hydro,2025,USD/tonne,0.0
Hydro,2026,USD/tonne,0.0
Hydro,2027,USD/tonne,0.0
Hydro,2028,USD/tonne,0.0
Hydro,2029,USD/tonne,0.0
Hydro,2030,USD/tonne,0.0
Solar,2020,USD/tonne,0.0
Solar,2021,USD/tonne,0.0
Solar,2022,USD/tonne,0.0
Solar,2023,USD/tonne,0.0
Solar,2024,USD/tonne,0.0
Solar,2025,USD/tonne,0.0
Solar,2026,USD/tonne,0.0
Solar,2027,USD/tonne,0.0
Solar,2028,USD/tonne,0.0
Solar,2029,USD/tonne,0.0
Solar,2030,USD/tonne,0.0
Wind,2020,USD/tonne,0.0
Wind,2021,USD/tonne,0.0
Wind,2022,USD/tonne,0.0
Wind,2023,USD/tonne,0.0
Wind,2024,USD/tonne,0.0
Wind,2025,USD/tonne,0.0
Wind,2026,USD/tonne,0.0
Wind,2027,USD/tonne,0.0
Wind,2028,USD/tonne,0.0
Wind,2029,USD/tonne,0.0
Wind,2030,USD/tonne,0.0
Storage,2020,USD/tonne,0.0
Storage,2021,USD/tonne,0.0
Storage,2022,USD/tonne,0.0
Storage,2023,USD/tonne,0.0
Storage,2024,USD/tonne,0.0
Storage,2025,USD/tonne,0.0
Storage,2026,USD/tonne,0.0
Storage,2027,USD/tonne,0.0
Storage,2028,USD/tonne,0.0
Storage,2029,USD/tonne,0.0
Storage,2030,USD/tonne,0.0
