zone,tech,age,unit,value
BA1,Coal,0,MW,0
BA1,Coal,1,MW,0
BA1,Coal,2,MW,0
BA1,Coal,3,MW,0
BA1,Coal,4,MW,0
BA1,Coal,5,MW,0
BA1,Coal,6,MW,0
BA1,Coal,7,MW,0
BA1,Coal,8,MW,0
BA1,Coal,9,MW,0
BA1,Coal,10,MW,0
BA1,Coal,11,MW,0
BA1,Coal,12,MW,0
BA1,Coal,13,MW,0
BA1,Coal,14,MW,0
BA1,Coal,15,MW,0
BA1,Coal,16,MW,0
BA1,Coal,17,MW,0
BA1,Coal,18,MW,0
BA1,Coal,19,MW,0
BA1,Coal,20,MW,0
BA1,Coal,21,MW,0
BA1,Coal,22,MW,0
BA1,Coal,23,MW,0
BA1,Coal,24,MW,0
BA1,Coal,25,MW,0
BA1,Coal,26,MW,0
BA1,Coal,27,MW,0
BA1,Coal,28,MW,0
BA1,Coal,29,MW,0
BA1,Coal,30,MW,0
BA1,Coal,31,MW,0
BA1,Coal,32,MW,0
BA1,Coal,33,MW,0
BA1,Coal,34,MW,0
BA1,Coal,35,MW,0
BA1,Coal,36,MW,0
BA1,Coal,37,MW,0
BA1,Coal,38,MW,0
BA1,Coal,39,MW,0
BA1,Coal,40,MW,0
BA1,Coal,41,MW,0
BA1,Coal,42,MW,0
BA1,Coal,43,MW,0
BA1,Coal,44,MW,0
BA1,Coal,45,MW,0
BA1,Coal,46,MW,0
BA1,Coal,47,MW,0
BA1,Coal,48,MW,0
BA1,Coal,49,MW,0
BA1,Coal,50,MW,0
BA1,Coal,51,MW,0
BA1,Coal,52,MW,0
BA1,Coal,53,MW,0
BA1,Coal,54,MW,0
BA1,Coal,55,MW,0
BA1,Coal,56,MW,0
BA1,Coal,57,MW,0
BA1,Coal,58,MW,0
BA1,Coal,59,MW,0
BA1,Coal,60,MW,0
BA1,Coal,61,MW,0
BA1,Coal,62,MW,0
BA1,Coal,63,MW,0
BA1,Coal,64,MW,0
BA1,Coal,65,MW,0
BA1,Coal,66,MW,0
BA1,Coal,67,MW,0
BA1,Coal,68,MW,0
BA1,Coal,69,MW,0
BA1,Coal,70,MW,0
BA1,Coal,71,MW,0
BA1,Coal,72,MW,0
BA1,Coal,73,MW,0
BA1,Coal,74,MW,0
BA1,Coal,75,MW,0
BA1,Coal,76,MW,0
BA1,Coal,77,MW,0
BA1,Coal,78,MW,0
BA1,Coal,79,MW,0
BA1,Coal,80,MW,0
BA1,Coal,81,MW,0
BA1,Coal,82,MW,0
BA1,Coal,83,MW,0
BA1,Coal,84,MW,0
BA1,Coal,85,MW,0
BA1,Coal,86,MW,0
BA1,Coal,87,MW,0
BA1,Coal,88,MW,0
BA1,Coal,89,MW,0
BA1,Coal,90,MW,0
BA1,Coal,91,MW,0
BA1,Coal,92,MW,0
BA1,Coal,93,MW,0
BA1,Coal,94,MW,0
BA1,Coal,95,MW,0
BA1,Coal,96,MW,0
BA1,Coal,97,MW,0
BA1,Coal,98,MW,0
BA1,Coal,99,MW,0
BA1,Hydro,0,MW,11355
BA1,Hydro,1,MW,0
BA1,Hydro,2,MW,0
BA1,Hydro,3,MW,0
BA1,Hydro,4,MW,0
BA1,Hydro,5,MW,0
BA1,Hydro,6,MW,0
BA1,Hydro,7,MW,0
BA1,Hydro,8,MW,0
BA1,Hydro,9,MW,0
BA1,Hydro,10,MW,0
BA1,Hydro,11,MW,0
BA1,Hydro,12,MW,0
BA1,Hydro,13,MW,0
BA1,Hydro,14,MW,0
BA1,Hydro,15,MW,0
BA1,Hydro,16,MW,0
BA1,Hydro,17,MW,0
BA1,Hydro,18,MW,0
BA1,Hydro,19,MW,0
BA1,Hydro,20,MW,0
BA1,Hydro,21,MW,0
BA1,Hydro,22,MW,0
BA1,Hydro,23,MW,0
BA1,Hydro,24,MW,0
BA1,Hydro,25,MW,0
BA1,Hydro,26,MW,0
BA1,Hydro,27,MW,0
BA1,Hydro,28,MW,0
BA1,Hydro,29,MW,0
BA1,Hydro,30,MW,0
BA1,Hydro,31,MW,0
BA1,Hydro,32,MW,0
BA1,Hydro,33,MW,0
BA1,Hydro,34,MW,0
BA1,Hydro,35,MW,0
BA1,Hydro,36,MW,0
BA1,Hydro,37,MW,0
BA1,Hydro,38,MW,0
BA1,Hydro,39,MW,0
BA1,Hydro,40,MW,0
BA1,Hydro,41,MW,0
BA1,Hydro,42,MW,0
BA1,Hydro,43,MW,0
BA1,Hydro,44,MW,0
BA1,Hydro,45,MW,0
BA1,Hydro,46,MW,0
BA1,Hydro,47,MW,0
BA1,Hydro,48,MW,0
BA1,Hydro,49,MW,0
BA1,Hydro,50,MW,0
BA1,Hydro,51,MW,0
BA1,Hydro,52,MW,0
BA1,Hydro,53,MW,0
BA1,Hydro,54,MW,0
BA1,Hydro,55,MW,0
BA1,Hydro,56,MW,0
BA1,Hydro,57,MW,0
BA1,Hydro,58,MW,0
BA1,Hydro,59,MW,0
BA1,Hydro,60,MW,0
BA1,Hydro,61,MW,0
BA1,Hydro,62,MW,0
BA1,Hydro,63,MW,0
BA1,Hydro,64,MW,0
BA1,Hydro,65,MW,0
BA1,Hydro,66,MW,0
BA1,Hydro,67,MW,0
BA1,Hydro,68,MW,0
BA1,Hydro,69,MW,0
BA1,Hydro,70,MW,0
BA1,Hydro,71,MW,0
BA1,Hydro,72,MW,0
BA1,Hydro,73,MW,0
BA1,Hydro,74,MW,0
BA1,Hydro,75,MW,0
BA1,Hydro,76,MW,0
BA1,Hydro,77,MW,0
BA1,Hydro,78,MW,0
BA1,Hydro,79,MW,0
BA1,Hydro,80,MW,0
BA1,Hydro,81,MW,0
BA1,Hydro,82,MW,0
BA1,Hydro,83,MW,0
BA1,Hydro,84,MW,0
BA1,Hydro,85,MW,0
BA1,Hydro,86,MW,0
BA1,Hydro,87,MW,0
BA1,Hydro,88,MW,0
BA1,Hydro,89,MW,0
BA1,Hydro,90,MW,0
BA1,Hydro,91,MW,0
BA1,Hydro,92,MW,0
BA1,Hydro,93,MW,0
BA1,Hydro,94,MW,0
BA1,Hydro,95,MW,0
BA1,Hydro,96,MW,0
BA1,Hydro,97,MW,0
BA1,Hydro,98,MW,0
BA1,Hydro,99,MW,0
BA1,Nuclear,0,MW,0
BA1,Nuclear,1,MW,0
BA1,Nuclear,2,MW,0
BA1,Nuclear,3,MW,0
BA1,Nuclear,4,MW,0
BA1,Nuclear,5,MW,0
BA1,Nuclear,6,MW,0
BA1,Nuclear,7,MW,0
BA1,Nuclear,8,MW,0
BA1,Nuclear,9,MW,0
BA1,Nuclear,10,MW,0
BA1,Nuclear,11,MW,0
BA1,Nuclear,12,MW,0
BA1,Nuclear,13,MW,0
BA1,Nuclear,14,MW,0
BA1,Nuclear,15,MW,0
BA1,Nuclear,16,MW,0
BA1,Nuclear,17,MW,0
BA1,Nuclear,18,MW,0
BA1,Nuclear,19,MW,0
BA1,Nuclear,20,MW,0
BA1,Nuclear,21,MW,0
BA1,Nuclear,22,MW,0
BA1,Nuclear,23,MW,0
BA1,Nuclear,24,MW,0
BA1,Nuclear,25,MW,0
BA1,Nuclear,26,MW,0
BA1,Nuclear,27,MW,0
BA1,Nuclear,28,MW,0
BA1,Nuclear,29,MW,0
BA1,Nuclear,30,MW,0
BA1,Nuclear,31,MW,0
BA1,Nuclear,32,MW,0
BA1,Nuclear,33,MW,0
BA1,Nuclear,34,MW,0
BA1,Nuclear,35,MW,0
BA1,Nuclear,36,MW,0
