tech,year,unit,value
Coal,2020,years,40.0
Coal,2021,years,40.0
Coal,2022,years,40.0
Coal,2023,years,40.0
Coal,2024,years,40.0
Coal,2025,years,40.0
Coal,2026,years,40.0
Coal,2027,years,40.0
Coal,2028,years,40.0
Coal,2029,years,40.0
Coal,2030,years,40.0
Hydro,2020,years,100.0
Hydro,2021,years,100.0
Hydro,2022,years,100.0
Hydro,2023,years,100.0
Hydro,2024,years,100.0
Hydro,2025,years,100.0
Hydro,2026,years,100.0
Hydro,2027,years,100.0
Hydro,2028,years,100.0
Hydro,2029,years,100.0
Hydro,2030,years,100.0
Solar,2020,years,25.0
Solar,2021,years,25.0
Solar,2022,years,25.0
Solar,2023,years,25.0
Solar,2024,years,25.0
Solar,2025,years,25.0
Solar,2026,years,25.0
Solar,2027,years,25.0
Solar,2028,years,25.0
Solar,2029,years,25.0
Solar,2030,years,25.0
Wind,2020,years,25.0
Wind,2021,years,25.0
Wind,2022,years,25.0
Wind,2023,years,25.0
Wind,2024,years,25.0
Wind,2025,years,25.0
Wind,2026,years,25.0
Wind,2027,years,25.0
Wind,2028,years,25.0
Wind,2029,years,25.0
Wind,2030,years,25.0
Storage,2020,years,100.0
Storage,2021,years,100.0
Storage,2022,years,100.0
Storage,2023,years,100.0
Storage,2024,years,100.0
Storage,2025,years,100.0
Storage,2026,years,100.0
Storage,2027,years,100.0
Storage,2028,years,100.0
Storage,2029,years,100.0
Storage,2030,years,100.0
