tech,zone,month,hour,year_offset,unit,value
Hydro,BA2,1,1,0.0,MW,864.454
Hydro,BA2,1,2,0.0,MW,750.236
Hydro,BA2,1,3,0.0,MW,630.0
Hydro,BA2,1,4,0.0,MW,630.0
Hydro,BA2,1,5,0.0,MW,630.0
Hydro,BA2,1,6,0.0,MW,630.0
Hydro,BA2,1,7,0.0,MW,800.428
Hydro,BA2,1,8,0.0,MW,1678.467
Hydro,BA2,1,9,335.0,MW,2565.381
Hydro,BA2,1,10,335.0,MW,3491.693
Hydro,BA2,1,11,335.0,MW,3575.346
Hydro,BA2,1,12,335.0,MW,3497.454
Hydro,BA2,1,13,0.0,MW,2398.523
Hydro,BA2,1,14,335.0,MW,1972.989
Hydro,BA2,1,15,335.0,MW,2300.615
Hydro,BA2,1,16,335.0,MW,2276.0
Hydro,BA2,1,17,335.0,MW,2943.466
Hydro,BA2,1,18,335.0,MW,3659.409
Hydro,BA2,1,19,335.0,MW,4523.231
Hydro,BA2,1,20,335.0,MW,5226.115
Hydro,BA2,1,21,335.0,MW,4497.106
Hydro,BA2,1,22,335.0,MW,3921.355
Hydro,BA2,1,23,216.408,MW,2999.459
Hydro,BA2,1,24,0.0,MW,1663.353
Hydro,BA2,1,25,0.0,MW,1064.115
Hydro,BA2,1,26,0.0,MW,630.0
Hydro,BA2,1,27,0.0,MW,795.399
Hydro,BA2,1,28,0.0,MW,649.89
Hydro,BA2,1,29,0.0,MW,630.0
Hydro,BA2,1,30,0.0,MW,630.0
Hydro,BA2,1,31,0.0,MW,1086.0
Hydro,BA2,1,32,0.0,MW,1580.12
Hydro,BA2,1,33,0.0,MW,2311.689
Hydro,BA2,1,34,309.251,MW,3015.137
Hydro,BA2,1,35,335.0,MW,3470.319
Hydro,BA2,1,36,335.0,MW,3138.081
Hydro,BA2,1,37,0.0,MW,2623.813
Hydro,BA2,1,38,0.0,MW,1993.888
Hydro,BA2,1,39,0.0,MW,2621.968
Hydro,BA2,1,40,177.979,MW,2322.678
Hydro,BA2,1,41,335.0,MW,2794.438
Hydro,BA2,1,42,335.0,MW,3847.287
Hydro,BA2,1,43,335.0,MW,4040.012
Hydro,BA2,1,44,335.0,MW,4930.41
Hydro,BA2,1,45,335.0,MW,4406.308
Hydro,BA2,1,46,142.083,MW,3751.016
Hydro,BA2,1,47,0.0,MW,2510.711
Hydro,BA3,1,1,0.0,MW,0.0
Hydro,BA3,1,2,0.0,MW,0.0
Hydro,BA3,1,3,0.0,MW,0.0
Hydro,BA3,1,4,0.0,MW,0.0
Hydro,BA3,1,5,0.0,MW,0.0
Hydro,BA3,1,6,0.0,MW,0.0
Hydro,BA3,1,7,0.0,MW,0.0
Hydro,BA3,1,8,0.0,MW,0.0
Hydro,BA3,1,9,335.0,MW,1604.579
Hydro,BA3,1,10,335.0,MW,2881.777
Hydro,BA3,1,11,335.0,MW,3064.15
Hydro,BA3,1,12,335.0,MW,2891.318
Hydro,BA3,1,13,0.0,MW,1814.054
Hydro,BA3,1,14,335.0,MW,1146.563
Hydro,BA3,1,15,335.0,MW,909.202
Hydro,BA3,1,16,335.0,MW,996.905
Hydro,BA3,1,17,335.0,MW,1233.164
Hydro,BA3,1,18,335.0,MW,2069.11
Hydro,BA3,1,19,335.0,MW,2617.025
Hydro,BA3,1,20,335.0,MW,3127.33
Hydro,BA3,1,21,335.0,MW,2811.534
Hydro,BA3,1,22,335.0,MW,2193.674
Hydro,BA3,1,23,216.408,MW,1360.131
Hydro,BA3,1,24,0.0,MW,105.025
Hydro,BA3,1,25,0.0,MW,0.0
Hydro,BA3,1,26,0.0,MW,0.0
Hydro,BA3,1,27,0.0,MW,0.0
Hydro,BA3,1,28,0.0,MW,0.0
Hydro,BA3,1,29,0.0,MW,0.0
Hydro,BA3,1,30,0.0,MW,0.0
Hydro,BA3,1,31,0.0,MW,0.0
Hydro,BA3,1,32,0.0,MW,0.0
Hydro,BA3,1,33,0.0,MW,1299.394
Hydro,BA3,1,34,309.251,MW,2800.688
Hydro,BA3,1,35,335.0,MW,3283.168
Hydro,BA3,1,36,335.0,MW,3158.448
Hydro,BA3,1,37,0.0,MW,2092.605
Hydro,BA3,1,38,0.0,MW,1461.322
Hydro,BA3,1,39,0.0,MW,1264.924
Hydro,BA3,1,40,177.979,MW,1286.758
Hydro,BA3,1,41,335.0,MW,1632.791
Hydro,BA3,1,42,335.0,MW,2548.318
Hydro,BA3,1,43,335.0,MW,2839.471
Hydro,BA3,1,44,335.0,MW,3406.762
Hydro,BA3,1,45,335.0,MW,3149.507
Hydro,BA3,1,46,142.083,MW,2475.923
Hydro,BA3,1,47,0.0,MW,1310.007
