tech,forebay_level,volume
Grand_Coulee,374.07,5990000000.0
Grand_Coulee,378.63,7054000000.000001
Grand_Coulee,383.13,8223999999.999999
Grand_Coulee,388.44,9728000000.0
Grand_Coulee,393.22,11243000000.0
Chief_Joseph,289.93,685000000.0
Chief_Joseph,291.08,722000000.0
Wells,235.9,29000000.0
Wells,238.02,117000000.0
Rocky_Reach,214.65,14000000.000000002
Rocky_Reach,215.46,43000000.0
Rock_Island,185.93,4000000.0
Rock_Island,186.84,14000000.000000002
Wanapum,170.76,4000000.0
Wanapum,174.17,199000000.0
Priest_Rapids,147.14,13000000.0
Priest_Rapids,148.69,52000000.0
Lower_Granite,223.49,546000000.0
Lower_Granite,224.78,591000000.0
Little_Goose,193.0,572000000.0
Little_Goose,194.32,625000000.0
Lower_Monumental,163.73,416000000.0
Lower_Monumental,164.47,435000000.0
Ice_Harbor,133.28,478000000.0
Ice_Harbor,133.98,503000000.0
McNary,102.87,1470000000.0
McNary,103.56,1670000000.0
John_Day,80.01,2460000000.0
John_Day,81.02,3120000000.0
The_Dalles,47.91,210000000.0
The_Dalles,48.65,410000000.0
Bonneville,21.98,798000000.0
Bonneville,23.29,909000000.0
