station_id,year,month,unit,value
1,1,1,m3,5990000000.0
1,1,2,m3,5990000000.0
1,1,3,m3,5990000000.0
1,1,4,m3,5990000000.0
1,1,5,m3,5990000000.0
1,1,6,m3,5990000000.0
1,1,7,m3,5990000000.0
1,1,8,m3,5990000000.0
1,1,9,m3,5990000000.0
1,1,10,m3,5990000000.0
1,1,11,m3,5990000000.0
1,1,12,m3,5990000000.0
1,1,13,m3,5990000000.0
1,1,14,m3,5990000000.0
1,1,15,m3,5990000000.0
1,1,16,m3,5990000000.0
1,1,17,m3,5990000000.0
1,1,18,m3,5990000000.0
1,1,19,m3,5990000000.0
1,1,20,m3,5990000000.0
1,1,21,m3,5990000000.0
1,1,22,m3,5990000000.0
1,1,23,m3,5990000000.0
1,1,24,m3,5990000000.0
1,1,25,m3,5990000000.0
1,1,26,m3,5990000000.0
1,1,27,m3,5990000000.0
1,1,28,m3,5990000000.0
1,1,29,m3,5990000000.0
1,1,30,m3,5990000000.0
1,1,31,m3,5990000000.0
1,1,32,m3,5990000000.0
1,1,33,m3,5990000000.0
1,1,34,m3,5990000000.0
1,1,35,m3,5990000000.0
1,1,36,m3,5990000000.0
1,1,37,m3,5990000000.0
1,1,38,m3,5990000000.0
1,1,39,m3,5990000000.0
1,1,40,m3,5990000000.0
1,1,41,m3,5990000000.0
1,1,42,m3,5990000000.0
1,1,43,m3,5990000000.0
1,1,44,m3,5990000000.0
1,1,45,m3,5990000000.0
1,1,46,m3,5990000000.0
1,1,47,m3,5990000000.0
1,1,48,m3,5990000000.0
2,1,1,m3,686000000.0
2,1,2,m3,686000000.0
2,1,3,m3,686000000.0
2,1,4,m3,686000000.0
2,1,5,m3,686000000.0
2,1,6,m3,686000000.0
2,1,7,m3,686000000.0
2,1,8,m3,686000000.0
2,1,9,m3,686000000.0
2,1,10,m3,686000000.0
2,1,11,m3,686000000.0
2,1,12,m3,686000000.0
2,1,13,m3,686000000.0
2,1,14,m3,686000000.0
2,1,15,m3,686000000.0
2,1,16,m3,686000000.0
2,1,17,m3,686000000.0
2,1,18,m3,686000000.0
2,1,19,m3,686000000.0
2,1,20,m3,686000000.0
2,1,21,m3,686000000.0
2,1,22,m3,686000000.0
2,1,23,m3,686000000.0
2,1,24,m3,686000000.0
2,1,25,m3,686000000.0
2,1,26,m3,686000000.0
2,1,27,m3,686000000.0
2,1,28,m3,686000000.0
2,1,29,m3,686000000.0
2,1,30,m3,686000000.0
2,1,31,m3,686000000.0
2,1,32,m3,686000000.0
2,1,33,m3,686000000.0
2,1,34,m3,686000000.0
2,1,35,m3,686000000.0
