station_id,tailrace_level,discharge
1,291.0,0
1,291.1,1000
1,297.0,6920
2,237.3,0
2,237.3,1000
2,241.0,7073
3,215.0,0
3,215.0,500
3,220.9,7804
4,214.6,0
4,214.9,400
4,220.9,7917
5,172.5,0
5,172.5,100
5,176.4,7942
6,147.9,0
6,152.2,8662
7,123.0,0
7,123.0,1000
7,129.3,8936
8,193.8,0
8,193.8,4995
9,164.2,0
9,164.2,4819
10,133.7,0
10,133.7,500
10,134.6,5006
11,103.3,0
11,103.3,300
11,107.2,5142
12,80.5,0
12,80.5,2000
12,82.7,12895
13,48.6,0
13,48.6,2000
13,50.8,13226
14,22.7,0
14,22.7,1721
14,26.1,12847
15,2.8,0
15,2.8,2109
15,10.5,13156
