zone,tech,year,unit,capacity_min,capacity_max
BA1,Coal,2020,MW,0.0,inf
BA1,Coal,2021,MW,0.0,inf
BA1,Coal,2022,MW,0.0,inf
BA1,Coal,2023,MW,0.0,inf
BA1,Coal,2024,MW,0.0,inf
BA1,Coal,2025,MW,0.0,inf
BA1,Coal,2026,MW,0.0,inf
BA1,Coal,2027,MW,0.0,inf
BA1,Coal,2028,MW,0.0,inf
BA1,Coal,2029,MW,0.0,inf
BA1,Coal,2030,MW,0.0,inf
BA1,Solar,2020,MW,0.0,inf
BA1,Solar,2021,MW,0.0,inf
BA1,Solar,2022,MW,0.0,inf
BA1,Solar,2023,MW,0.0,inf
BA1,Solar,2024,MW,0.0,inf
BA1,Solar,2025,MW,0.0,inf
BA1,Solar,2026,MW,0.0,inf
BA1,Solar,2027,MW,0.0,inf
BA1,Solar,2028,MW,0.0,inf
BA1,Solar,2029,MW,0.0,inf
BA1,Solar,2030,MW,0.0,inf
BA1,Storage,2020,MW,0.0,inf
BA1,Storage,2021,MW,0.0,inf
BA1,Storage,2022,MW,0.0,inf
BA1,Storage,2023,MW,0.0,inf
BA1,Storage,2024,MW,0.0,inf
BA1,Storage,2025,MW,0.0,inf
BA1,Storage,2026,MW,0.0,inf
BA1,Storage,2027,MW,0.0,inf
BA1,Storage,2028,MW,0.0,inf
BA1,Storage,2029,MW,0.0,inf
BA1,Storage,2030,MW,0.0,inf
BA1,Wind,2020,MW,0.0,inf
BA1,Wind,2021,MW,0.0,inf
BA1,Wind,2022,MW,0.0,inf
BA1,Wind,2023,MW,0.0,inf
BA1,Wind,2024,MW,0.0,inf
BA1,Wind,2025,MW,0.0,inf
BA1,Wind,2026,MW,0.0,inf
BA1,Wind,2027,MW,0.0,inf
BA1,Wind,2028,MW,0.0,inf
BA1,Wind,2029,MW,0.0,inf
BA1,Wind,2030,MW,0.0,inf
BA2,Coal,2020,MW,0.0,inf
BA2,Coal,2021,MW,0.0,inf
BA2,Coal,2022,MW,0.0,inf
BA2,Coal,2023,MW,0.0,inf
BA2,Coal,2024,MW,0.0,inf
BA2,Coal,2025,MW,0.0,inf
BA2,Coal,2026,MW,0.0,inf
BA2,Coal,2027,MW,0.0,inf
BA2,Coal,2028,MW,0.0,inf
BA2,Coal,2029,MW,0.0,inf
BA2,Coal,2030,MW,0.0,inf
BA2,Solar,2020,MW,0.0,inf
BA2,Solar,2021,MW,0.0,inf
BA2,Solar,2022,MW,0.0,inf
BA2,Solar,2023,MW,0.0,inf
BA2,Solar,2024,MW,0.0,inf
BA2,Solar,2025,MW,0.0,inf
BA2,Solar,2026,MW,0.0,inf
BA2,Solar,2027,MW,0.0,inf
BA2,Solar,2028,MW,0.0,inf
BA2,Solar,2029,MW,0.0,inf
BA2,Solar,2030,MW,0.0,inf
BA2,Storage,2020,MW,0.0,inf
BA2,Storage,2021,MW,0.0,inf
BA2,Storage,2022,MW,0.0,inf
BA2,Storage,2023,MW,0.0,inf
BA2,Storage,2024,MW,0.0,inf
BA2,Storage,2025,MW,0.0,inf
BA2,Storage,2026,MW,0.0,inf
BA2,Storage,2027,MW,0.0,inf
BA2,Storage,2028,MW,0.0,inf
BA2,Storage,2029,MW,0.0,inf
BA2,Storage,2030,MW,0.0,inf
BA2,Wind,2020,MW,0.0,inf
BA2,Wind,2021,MW,0.0,inf
BA2,Wind,2022,MW,0.0,inf
BA2,Wind,2023,MW,0.0,inf
BA2,Wind,2024,MW,0.0,inf
BA2,Wind,2025,MW,0.0,inf
BA2,Wind,2026,MW,0.0,inf
BA2,Wind,2027,MW,0.0,inf
BA2,Wind,2028,MW,0.0,inf
BA2,Wind,2029,MW,0.0,inf
BA2,Wind,2030,MW,0.0,inf
BA3,Coal,2020,MW,0.0,inf
BA3,Coal,2021,MW,0.0,inf
BA3,Coal,2022,MW,0.0,inf
BA3,Coal,2023,MW,0.0,inf
BA3,Coal,2024,MW,0.0,inf
BA3,Coal,2025,MW,0.0,inf
BA3,Coal,2026,MW,0.0,inf
BA3,Coal,2027,MW,0.0,inf
BA3,Coal,2028,MW,0.0,inf
BA3,Coal,2029,MW,0.0,inf
BA3,Coal,2030,MW,0.0,inf
BA3,Solar,2020,MW,0.0,inf
BA3,Solar,2021,MW,0.0,inf
BA3,Solar,2022,MW,0.0,inf
BA3,Solar,2023,MW,0.0,inf
BA3,Solar,2024,MW,0.0,inf
BA3,Solar,2025,MW,0.0,inf
BA3,Solar,2026,MW,0.0,inf
BA3,Solar,2027,MW,0.0,inf
BA3,Solar,2028,MW,0.0,inf
BA3,Solar,2029,MW,0.0,inf
BA3,Solar,2030,MW,0.0,inf
BA3,Storage,2020,MW,0.0,inf
BA3,Storage,2021,MW,0.0,inf
BA3,Storage,2022,MW,0.0,inf
BA3,Storage,2023,MW,0.0,inf
BA3,Storage,2024,MW,0.0,inf
BA3,Storage,2025,MW,0.0,inf
BA3,Storage,2026,MW,0.0,inf
BA3,Storage,2027,MW,0.0,inf
BA3,Storage,2028,MW,0.0,inf
BA3,Storage,2029,MW,0.0,inf
BA3,Storage,2030,MW,0.0,inf
BA3,Wind,2020,MW,0.0,inf
BA3,Wind,2021,MW,0.0,inf
BA3,Wind,2022,MW,0.0,inf
BA3,Wind,2023,MW,0.0,inf
BA3,Wind,2024,MW,0.0,inf
BA3,Wind,2025,MW,0.0,inf
BA3,Wind,2026,MW,0.0,inf
BA3,Wind,2027,MW,0.0,inf
BA3,Wind,2028,MW,0.0,inf
BA3,Wind,2029,MW,0.0,inf
BA3,Wind,2030,MW,0.0,inf
