tech,year,unit,value
Coal,2020,USD/MW/year,71780.0
Coal,2021,USD/MW/year,71780.0
Coal,2022,USD/MW/year,71780.0
Coal,2023,USD/MW/year,71780.0
Coal,2024,USD/MW/year,71780.0
Coal,2025,USD/MW/year,71780.0
Coal,2026,USD/MW/year,71780.0
Coal,2027,USD/MW/year,71780.0
Coal,2028,USD/MW/year,71780.0
Coal,2029,USD/MW/year,71780.0
Coal,2030,USD/MW/year,71780.0
Hydro,2020,USD/MW/year,31998.0
Hydro,2021,USD/MW/year,31998.0
Hydro,2022,USD/MW/year,31998.0
Hydro,2023,USD/MW/year,31998.0
Hydro,2024,USD/MW/year,31998.0
Hydro,2025,USD/MW/year,31998.0
Hydro,2026,USD/MW/year,31998.0
Hydro,2027,USD/MW/year,31998.0
Hydro,2028,USD/MW/year,31998.0
Hydro,2029,USD/MW/year,31998.0
Hydro,2030,USD/MW/year,31998.0
Solar,2020,USD/MW/year,22995.0
Solar,2021,USD/MW/year,22995.0
Solar,2022,USD/MW/year,22995.0
Solar,2023,USD/MW/year,22995.0
Solar,2024,USD/MW/year,22995.0
Solar,2025,USD/MW/year,22995.0
Solar,2026,USD/MW/year,22995.0
Solar,2027,USD/MW/year,22995.0
Solar,2028,USD/MW/year,22995.0
Solar,2029,USD/MW/year,22995.0
Solar,2030,USD/MW/year,22995.0
Wind,2020,USD/MW/year,114000.0
Wind,2021,USD/MW/year,114000.0
Wind,2022,USD/MW/year,114000.0
Wind,2023,USD/MW/year,114000.0
Wind,2024,USD/MW/year,114000.0
Wind,2025,USD/MW/year,114000.0
Wind,2026,USD/MW/year,114000.0
Wind,2027,USD/MW/year,114000.0
Wind,2028,USD/MW/year,114000.0
Wind,2029,USD/MW/year,114000.0
Wind,2030,USD/MW/year,114000.0
Storage,2020,USD/MW/year,14298.0
Storage,2021,USD/MW/year,14298.0
Storage,2022,USD/MW/year,14298.0
Storage,2023,USD/MW/year,14298.0
Storage,2024,USD/MW/year,14298.0
Storage,2025,USD/MW/year,14298.0
Storage,2026,USD/MW/year,14298.0
Storage,2027,USD/MW/year,14298.0
Storage,2028,USD/MW/year,14298.0
Storage,2029,USD/MW/year,14298.0
Storage,2030,USD/MW/year,14298.0
