tech,year,unit,value
Coal,2020,tonneCO2/MWh,0.90891415
Coal,2030,tonneCO2/MWh,0.90891415
Oil,2020,tonneCO2/MWh,0.7019378145
Oil,2030,tonneCO2/MWh,0.7019378145
Gas,2020,tonneCO2/MWh,0.6119188845
Gas,2030,tonneCO2/MWh,0.6119188845
Hydro,2020,tonneCO2/MWh,0.0
Hydro,2030,tonneCO2/MWh,0.0
Solar,2020,tonneCO2/MWh,0.0
Solar,2030,tonneCO2/MWh,0.0
Wind,2020,tonneCO2/MWh,0.0
Wind,2030,tonneCO2/MWh,0.0
Bioenergy,2020,tonneCO2/MWh,0.0
Bioenergy,2030,tonneCO2/MWh,0.0
HPS,2020,tonneCO2/MWh,0.0
HPS,2030,tonneCO2/MWh,0.0
Li-ion,2020,tonneCO2/MWh,0.0
Li-ion,2030,tonneCO2/MWh,0.0
