tech,zone,commission_year,unit,capacity
Bioenergy,Cambodia,2020,MW,31.0
Bioenergy,Thailand,2020,MW,2213.0
Bioenergy,Vietnam,2020,MW,365.0
Coal,Cambodia,2020,MW,675.0
Coal,Laos,2020,MW,1978.0
Coal,Myanmar,2020,MW,120.0
Coal,Thailand,2020,MW,6114.0
Coal,Vietnam,2020,MW,21554.0
Gas,Myanmar,2020,MW,3341.0
Gas,Thailand,2020,MW,27920.0
Gas,Vietnam,2020,MW,7152.0
Hydro,Cambodia,2020,MW,400.0
Hydro,Laos,2020,MW,7295.3
Hydro,Thailand,2020,MW,662.38
Hydro,Vietnam,2020,MW,2281.0
Oil,Cambodia,2020,MW,644.0
Oil,Myanmar,2020,MW,25.0
Oil,Thailand,2020,MW,369.0
Oil,Vietnam,2020,MW,1706.0
Solar,Cambodia,2020,MW,237.0
Solar,Myanmar,2020,MW,180.0
Solar,Thailand,2020,MW,2856.0
Solar,Vietnam,2020,MW,16656.0
Wind,Thailand,2020,MW,1486.0
Wind,Vietnam,2020,MW,582.0
