tech,zone,unit,value
Coal,Cambodia,fraction,0.07
Coal,Laos,fraction,0.07
Coal,Myanmar,fraction,0.07
Coal,Thailand,fraction,0.07
Coal,Vietnam,fraction,0.07
Oil,Cambodia,fraction,0.07
Oil,Laos,fraction,0.07
Oil,Myanmar,fraction,0.07
Oil,Thailand,fraction,0.07
Oil,Vietnam,fraction,0.07
Gas,Cambodia,fraction,0.07
Gas,Laos,fraction,0.07
Gas,Myanmar,fraction,0.07
Gas,Thailand,fraction,0.07
Gas,Vietnam,fraction,0.07
Solar,Cambodia,fraction,0.07
Solar,Laos,fraction,0.07
Solar,Myanmar,fraction,0.07
Solar,Thailand,fraction,0.07
Solar,Vietnam,fraction,0.07
Wind,Cambodia,fraction,0.07
Wind,Laos,fraction,0.07
Wind,Myanmar,fraction,0.07
Wind,Thailand,fraction,0.07
Wind,Vietnam,fraction,0.07
Bioenergy,Cambodia,fraction,0.07
Bioenergy,Laos,fraction,0.07
Bioenergy,Myanmar,fraction,0.07
Bioenergy,Thailand,fraction,0.07
Bioenergy,Vietnam,fraction,0.07
HPS,Cambodia,fraction,0.07
HPS,Laos,fraction,0.07
HPS,Myanmar,fraction,0.07
HPS,Thailand,fraction,0.07
HPS,Vietnam,fraction,0.07
Li-ion,Cambodia,fraction,0.07
Li-ion,Laos,fraction,0.07
Li-ion,Myanmar,fraction,0.07
Li-ion,Thailand,fraction,0.07
Li-ion,Vietnam,fraction,0.07
Nam_Ou_7,Cambodia,fraction,0.07
Nam_Ou_7,Laos,fraction,0.07
Nam_Ou_7,Myanmar,fraction,0.07
Nam_Ou_7,Thailand,fraction,0.07
Nam_Ou_7,Vietnam,fraction,0.07
Nam_Ngay,Cambodia,fraction,0.07
Nam_Ngay,Laos,fraction,0.07
Nam_Ngay,Myanmar,fraction,0.07
Nam_Ngay,Thailand,fraction,0.07
Nam_Ngay,Vietnam,fraction,0.07
Nam_Ou_6,Cambodia,fraction,0.07
Nam_Ou_6,Laos,fraction,0.07
Nam_Ou_6,Myanmar,fraction,0.07
Nam_Ou_6,Thailand,fraction,0.07
Nam_Ou_6,Vietnam,fraction,0.07
Nam_Ou_5,Cambodia,fraction,0.07
Nam_Ou_5,Laos,fraction,0.07
Nam_Ou_5,Myanmar,fraction,0.07
Nam_Ou_5,Thailand,fraction,0.07
Nam_Ou_5,Vietnam,fraction,0.07
Nam_Pok,Cambodia,fraction,0.07
Nam_Pok,Laos,fraction,0.07
Nam_Pok,Myanmar,fraction,0.07
Nam_Pok,Thailand,fraction,0.07
Nam_Pok,Vietnam,fraction,0.07
Nam_Ou_4,Cambodia,fraction,0.07
Nam_Ou_4,Laos,fraction,0.07
Nam_Ou_4,Myanmar,fraction,0.07
Nam_Ou_4,Thailand,fraction,0.07
Nam_Ou_4,Vietnam,fraction,0.07
Nam_Pha,Cambodia,fraction,0.07
Nam_Pha,Laos,fraction,0.07
Nam_Pha,Myanmar,fraction,0.07
Nam_Pha,Thailand,fraction,0.07
Nam_Pha,Vietnam,fraction,0.07
Nam_Ko,Cambodia,fraction,0.07
Nam_Ko,Laos,fraction,0.07
Nam_Ko,Myanmar,fraction,0.07
Nam_Ko,Thailand,fraction,0.07
Nam_Ko,Vietnam,fraction,0.07
Nam_Ou_2,Cambodia,fraction,0.07
Nam_Ou_2,Laos,fraction,0.07
Nam_Ou_2,Myanmar,fraction,0.07
Nam_Ou_2,Thailand,fraction,0.07
Nam_Ou_2,Vietnam,fraction,0.07
Nam_Tha_1,Cambodia,fraction,0.07
Nam_Tha_1,Laos,fraction,0.07
Nam_Tha_1,Myanmar,fraction,0.07
Nam_Tha_1,Thailand,fraction,0.07
Nam_Tha_1,Vietnam,fraction,0.07
Nam_Ou_1,Cambodia,fraction,0.07
Nam_Ou_1,Laos,fraction,0.07
Nam_Ou_1,Myanmar,fraction,0.07
Nam_Ou_1,Thailand,fraction,0.07
Nam_Ou_1,Vietnam,fraction,0.07
Nam_Beng,Cambodia,fraction,0.07
Nam_Beng,Laos,fraction,0.07
Nam_Beng,Myanmar,fraction,0.07
Nam_Beng,Thailand,fraction,0.07
Nam_Beng,Vietnam,fraction,0.07
Nam_Khan_3_(Down),Cambodia,fraction,0.07
Nam_Khan_3_(Down),Laos,fraction,0.07
Nam_Khan_3_(Down),Myanmar,fraction,0.07
Nam_Khan_3_(Down),Thailand,fraction,0.07
Nam_Khan_3_(Down),Vietnam,fraction,0.07
Nam_Khan_2,Cambodia,fraction,0.07
Nam_Khan_2,Laos,fraction,0.07
Nam_Khan_2,Myanmar,fraction,0.07
Nam_Khan_2,Thailand,fraction,0.07
Nam_Khan_2,Vietnam,fraction,0.07
Mekong_at_Xayabuly,Cambodia,fraction,0.07
Mekong_at_Xayabuly,Laos,fraction,0.07
Mekong_at_Xayabuly,Myanmar,fraction,0.07
Mekong_at_Xayabuly,Thailand,fraction,0.07
Mekong_at_Xayabuly,Vietnam,fraction,0.07
Nam_Ngum_3,Cambodia,fraction,0.07
Nam_Ngum_3,Laos,fraction,0.07
Nam_Ngum_3,Myanmar,fraction,0.07
Nam_Ngum_3,Thailand,fraction,0.07
Nam_Ngum_3,Vietnam,fraction,0.07
Nam_Pouy_1,Cambodia,fraction,0.07
Nam_Pouy_1,Laos,fraction,0.07
Nam_Pouy_1,Myanmar,fraction,0.07
Nam_Pouy_1,Thailand,fraction,0.07
Nam_Pouy_1,Vietnam,fraction,0.07
Nam_Ngum_2,Cambodia,fraction,0.07
Nam_Ngum_2,Laos,fraction,0.07
Nam_Ngum_2,Myanmar,fraction,0.07
Nam_Ngum_2,Thailand,fraction,0.07
Nam_Ngum_2,Vietnam,fraction,0.07
Nam_Ngiep_1,Cambodia,fraction,0.07
Nam_Ngiep_1,Laos,fraction,0.07
Nam_Ngiep_1,Myanmar,fraction,0.07
Nam_Ngiep_1,Thailand,fraction,0.07
Nam_Ngiep_1,Vietnam,fraction,0.07
Nam_Lik_1-2,Cambodia,fraction,0.07
Nam_Lik_1-2,Laos,fraction,0.07
Nam_Lik_1-2,Myanmar,fraction,0.07
Nam_Lik_1-2,Thailand,fraction,0.07
Nam_Lik_1-2,Vietnam,fraction,0.07
Nam_Ngum_1,Cambodia,fraction,0.07
Nam_Ngum_1,Laos,fraction,0.07
Nam_Ngum_1,Myanmar,fraction,0.07
Nam_Ngum_1,Thailand,fraction,0.07
Nam_Ngum_1,Vietnam,fraction,0.07
Nam_Lik_1,Cambodia,fraction,0.07
Nam_Lik_1,Laos,fraction,0.07
Nam_Lik_1,Myanmar,fraction,0.07
Nam_Lik_1,Thailand,fraction,0.07
Nam_Lik_1,Vietnam,fraction,0.07
Nam_Ngiep-regulating_dam,Cambodia,fraction,0.07
Nam_Ngiep-regulating_dam,Laos,fraction,0.07
Nam_Ngiep-regulating_dam,Myanmar,fraction,0.07
Nam_Ngiep-regulating_dam,Thailand,fraction,0.07
Nam_Ngiep-regulating_dam,Vietnam,fraction,0.07
Nam_Poun,Cambodia,fraction,0.07
Nam_Poun,Laos,fraction,0.07
Nam_Poun,Myanmar,fraction,0.07
Nam_Poun,Thailand,fraction,0.07
Nam_Poun,Vietnam,fraction,0.07
Nam_Theun1,Cambodia,fraction,0.07
Nam_Theun1,Laos,fraction,0.07
Nam_Theun1,Myanmar,fraction,0.07
Nam_Theun1,Thailand,fraction,0.07
Nam_Theun1,Vietnam,fraction,0.07
Theun-Hinboun_exp._(NG8),Cambodia,fraction,0.07
Theun-Hinboun_exp._(NG8),Laos,fraction,0.07
Theun-Hinboun_exp._(NG8),Myanmar,fraction,0.07
Theun-Hinboun_exp._(NG8),Thailand,fraction,0.07
Theun-Hinboun_exp._(NG8),Vietnam,fraction,0.07
Theun-Hinboun,Cambodia,fraction,0.07
Theun-Hinboun,Laos,fraction,0.07
Theun-Hinboun,Myanmar,fraction,0.07
Theun-Hinboun,Thailand,fraction,0.07
Theun-Hinboun,Vietnam,fraction,0.07
Ubol_Ratana,Cambodia,fraction,0.07
Ubol_Ratana,Laos,fraction,0.07
Ubol_Ratana,Myanmar,fraction,0.07
Ubol_Ratana,Thailand,fraction,0.07
Ubol_Ratana,Vietnam,fraction,0.07
Huai_Kum,Cambodia,fraction,0.07
Huai_Kum,Laos,fraction,0.07
Huai_Kum,Myanmar,fraction,0.07
