zone,tech,age,unit,value
Cambodia,Coal,0,MW,675.0
Cambodia,Coal,1,MW,0.0
Cambodia,Coal,2,MW,0.0
Cambodia,Coal,3,MW,0.0
Cambodia,Coal,4,MW,0.0
Cambodia,Coal,5,MW,0.0
Cambodia,Coal,6,MW,0.0
Cambodia,Coal,7,MW,0.0
Cambodia,Coal,8,MW,0.0
Cambodia,Coal,9,MW,0.0
Cambodia,Coal,10,MW,0.0
Cambodia,Coal,11,MW,0.0
Cambodia,Coal,12,MW,0.0
Cambodia,Coal,13,MW,0.0
Cambodia,Coal,14,MW,0.0
Cambodia,Coal,15,MW,0.0
Cambodia,Coal,16,MW,0.0
Cambodia,Coal,17,MW,0.0
Cambodia,Coal,18,MW,0.0
Cambodia,Coal,19,MW,0.0
Cambodia,Coal,20,MW,0.0
Cambodia,Coal,21,MW,0.0
Cambodia,Coal,22,MW,0.0
Cambodia,Coal,23,MW,0.0
Cambodia,Coal,24,MW,0.0
Cambodia,Coal,25,MW,0.0
Cambodia,Coal,26,MW,0.0
Cambodia,Coal,27,MW,0.0
Cambodia,Coal,28,MW,0.0
Cambodia,Coal,29,MW,0.0
Cambodia,Coal,30,MW,0.0
Cambodia,Coal,31,MW,0.0
Cambodia,Coal,32,MW,0.0
Cambodia,Coal,33,MW,0.0
Cambodia,Coal,34,MW,0.0
Cambodia,Coal,35,MW,0.0
Cambodia,Coal,36,MW,0.0
Cambodia,Coal,37,MW,0.0
Cambodia,Coal,38,MW,0.0
Cambodia,Coal,39,MW,0.0
Cambodia,Coal,40,MW,0.0
Cambodia,Coal,41,MW,0.0
Cambodia,Coal,42,MW,0.0
Cambodia,Coal,43,MW,0.0
Cambodia,Coal,44,MW,0.0
Cambodia,Coal,45,MW,0.0
Cambodia,Coal,46,MW,0.0
Cambodia,Coal,47,MW,0.0
Cambodia,Coal,48,MW,0.0
Cambodia,Coal,49,MW,0.0
Cambodia,Coal,50,MW,0.0
Cambodia,Coal,51,MW,0.0
Cambodia,Coal,52,MW,0.0
Cambodia,Coal,53,MW,0.0
Cambodia,Coal,54,MW,0.0
Cambodia,Coal,55,MW,0.0
Cambodia,Coal,56,MW,0.0
Cambodia,Coal,57,MW,0.0
