zone,tech,year,unit,value
Cambodia,Coal,2020,MW,0.0
Cambodia,Coal,2030,MW,0.0
Cambodia,Oil,2020,MW,0.0
Cambodia,Oil,2030,MW,0.0
Cambodia,Gas,2020,MW,0.0
Cambodia,Gas,2030,MW,0.0
Cambodia,Hydro,2020,MW,0.0
Cambodia,Hydro,2030,MW,0.0
Cambodia,Solar,2020,MW,0.0
Cambodia,Solar,2030,MW,0.0
Cambodia,Wind,2020,MW,0.0
Cambodia,Wind,2030,MW,0.0
Cambodia,Bioenergy,2020,MW,0.0
Cambodia,Bioenergy,2030,MW,0.0
Cambodia,HPS,2020,MW,0.0
Cambodia,HPS,2030,MW,0.0
Cambodia,Li-ion,2020,MW,0.0
Cambodia,Li-ion,2030,MW,0.0
Laos,Coal,2020,MW,0.0
Laos,Coal,2030,MW,0.0
Laos,Oil,2020,MW,0.0
Laos,Oil,2030,MW,0.0
Laos,Gas,2020,MW,0.0
Laos,Gas,2030,MW,0.0
Laos,Hydro,2020,MW,0.0
Laos,Hydro,2030,MW,0.0
Laos,Solar,2020,MW,0.0
Laos,Solar,2030,MW,0.0
Laos,Wind,2020,MW,0.0
Laos,Wind,2030,MW,0.0
Laos,Bioenergy,2020,MW,0.0
Laos,Bioenergy,2030,MW,0.0
Laos,HPS,2020,MW,0.0
Laos,HPS,2030,MW,0.0
Laos,Li-ion,2020,MW,0.0
Laos,Li-ion,2030,MW,0.0
Myanmar,Coal,2020,MW,0.0
Myanmar,Coal,2030,MW,0.0
Myanmar,Oil,2020,MW,0.0
Myanmar,Oil,2030,MW,0.0
Myanmar,Gas,2020,MW,0.0
Myanmar,Gas,2030,MW,0.0
Myanmar,Hydro,2020,MW,0.0
Myanmar,Hydro,2030,MW,0.0
Myanmar,Solar,2020,MW,0.0
Myanmar,Solar,2030,MW,0.0
Myanmar,Wind,2020,MW,0.0
Myanmar,Wind,2030,MW,0.0
Myanmar,Bioenergy,2020,MW,0.0
Myanmar,Bioenergy,2030,MW,0.0
Myanmar,HPS,2020,MW,0.0
Myanmar,HPS,2030,MW,0.0
Myanmar,Li-ion,2020,MW,0.0
Myanmar,Li-ion,2030,MW,0.0
Thailand,Coal,2020,MW,0.0
Thailand,Coal,2030,MW,0.0
Thailand,Oil,2020,MW,0.0
Thailand,Oil,2030,MW,0.0
Thailand,Gas,2020,MW,0.0
Thailand,Gas,2030,MW,0.0
Thailand,Hydro,2020,MW,0.0
Thailand,Hydro,2030,MW,0.0
Thailand,Solar,2020,MW,0.0
Thailand,Solar,2030,MW,0.0
Thailand,Wind,2020,MW,0.0
Thailand,Wind,2030,MW,0.0
Thailand,Bioenergy,2020,MW,0.0
Thailand,Bioenergy,2030,MW,0.0
Thailand,HPS,2020,MW,0.0
Thailand,HPS,2030,MW,0.0
Thailand,Li-ion,2020,MW,0.0
Thailand,Li-ion,2030,MW,0.0
Vietnam,Coal,2020,MW,0.0
Vietnam,Coal,2030,MW,0.0
Vietnam,Oil,2020,MW,0.0
Vietnam,Oil,2030,MW,0.0
Vietnam,Gas,2020,MW,0.0
Vietnam,Gas,2030,MW,0.0
Vietnam,Hydro,2020,MW,0.0
Vietnam,Hydro,2030,MW,0.0
Vietnam,Solar,2020,MW,0.0
Vietnam,Solar,2030,MW,0.0
Vietnam,Wind,2020,MW,0.0
Vietnam,Wind,2030,MW,0.0
Vietnam,Bioenergy,2020,MW,0.0
Vietnam,Bioenergy,2030,MW,0.0
Vietnam,HPS,2020,MW,0.0
Vietnam,HPS,2030,MW,0.0
Vietnam,Li-ion,2020,MW,0.0
Vietnam,Li-ion,2030,MW,0.0
