tech,unit,capacity_min
Nam_Ou_7,MW,0.0
Nam_Ngay,MW,0.0
Nam_Ou_6,MW,0.0
Nam_Ou_5,MW,0.0
Nam_Pok,MW,0.0
Nam_Ou_4,MW,0.0
Nam_Pha,MW,0.0
Nam_Ko,MW,0.0
Nam_Ou_2,MW,0.0
Nam_Tha_1,MW,0.0
Nam_Ou_1,MW,0.0
Nam_Beng,MW,0.0
Nam_Khan_3_(Down),MW,0.0
Nam_Khan_2,MW,0.0
Mekong_at_Xayabuly,MW,0.0
Nam_Ngum_3,MW,0.0
Nam_Pouy_1,MW,0.0
Nam_Ngum_2,MW,0.0
Nam_Ngiep_1,MW,0.0
Nam_Lik_1-2,MW,0.0
Nam_Ngum_1,MW,0.0
Nam_Lik_1,MW,0.0
Nam_Ngiep-regulating_dam,MW,0.0
Nam_Poun,MW,0.0
Nam_Theun1,MW,0.0
Theun-Hinboun_exp._(NG8),MW,0.0
Theun-Hinboun,MW,0.0
Ubol_Ratana,MW,0.0
Huai_Kum,MW,0.0
Xe_Kong_5,MW,0.0
Xeset_1,MW,0.0
Xedon_2,MW,0.0
Xelabam,MW,0.0
Xekaman_3,MW,0.0
Pak_Mun,MW,0.0
Xe_Kaman_2B,MW,0.0
Xekaman-Sanxay,MW,0.0
Xe_Nam_Noy_5,MW,0.0
Xe_Kaman_2A,MW,0.0
Xekatam,MW,0.0
Xekaman_1,MW,0.0
Lam_Ta_Khong_P.S.,MW,0.0
Nam_Kong_1,MW,0.0
Nam_Kong_2,MW,0.0
Plei_Krong,MW,0.0
Yali,MW,0.0
Se_San_3,MW,0.0
Se_San_3A,MW,0.0
Se_San_4,MW,0.0
Se_San_4A,MW,0.0
Mekong_at_Don_sahong,MW,0.0
Lower_Se_San_2,MW,0.0
Sre_Pok_4,MW,0.0
Sre_Pok_3,MW,0.0
Dray_Hlinh_2,MW,0.0
Buon_Kuop,MW,0.0
Buon_Tua_Srah,MW,0.0
