tech,unit,value
Nam_Ngum_1,m3,1002000000.0
Xelabam,m3,800000.0
Xeset_1,m3,300000.0
Theun-Hinboun,m3,15000000.0
Nam_Ko,m3,4500.0
Nam_Ngay,m3,674000.0
Xekaman_3,m3,108540000.0
Nam_Ngum_2,m3,2970000000.0
Nam_Lik_1-2,m3,826000000.0
Xekaman_1,m3,1682999999.9999998
Xekaman-Sanxay,m3,1000000.0
Theun-Hinboun_exp._(NG8),m3,2262000000.0
Nam_Ngum_3,m3,1411000000.0
Nam_Theun1,m3,2921000000.0
Nam_Ngiep_1,m3,1192000000.0
Nam_Ngiep-regulating_dam,m3,4700000.0
Nam_Tha_1,m3,675500000.0
Xekatam,m3,121000000.0
Nam_Kong_1,m3,505000000.0
Xe_Kong_5,m3,1700000000.0
Mekong_at_Don_sahong,m3,115000000.0
Nam_Ou_1,m3,89000000.0
Nam_Ou_2,m3,25400000.0
Nam_Ou_4,m3,1145000000.0
Nam_Ou_5,m3,142000000.0
Nam_Ou_6,m3,246000000.0
Nam_Ou_7,m3,1060000000.0
Nam_Lik_1,m3,6800000.0
Nam_Pha,m3,2331000000.0
Nam_Beng,m3,349600.0
Mekong_at_Xayabuly,m3,212000000.0
Xe_Kaman_2A,m3,20800000.0
Xe_Kaman_2B,m3,333000000.0
Nam_Khan_2,m3,528000000.0
Nam_Khan_3_(Down),m3,48000000.0
Nam_Pouy_1,m3,498600000.0000001
Nam_Poun,m3,250000000.0
Nam_Pok,m3,5100000.0
Xedon_2,m3,1352413000.0
Xe_Nam_Noy_5,m3,8800000.000000002
Nam_Kong_2,m3,30580000.0
Lower_Se_San_2,m3,333200000.0
Plei_Krong,m3,948000000.0
Yali,m3,779020000.0
Se_San_3,m3,3800000.0
Se_San_3A,m3,4000000.0
Se_San_4,m3,264160000.0
Se_San_4A,m3,7500000.0
Buon_Tua_Srah,m3,522600000.0
Buon_Kuop,m3,25630000.0
Dray_Hlinh_2,m3,1500000.0
Sre_Pok_3,m3,62850000.0
Sre_Pok_4,m3,8439999.999999998
Huai_Kum,m3,20000000.0
Pak_Mun,m3,125000000.0
Ubol_Ratana,m3,1695000000.0
Lam_Ta_Khong_P.S.,m3,299600000.0
