upstream_tech,downstream_tech,delay
Nam_Ngum_1,Mekong_at_Don_sahong,154
Nam_Ou_7,Nam_Ou_6,7
Nam_Ngay,Nam_Ou_6,3
Nam_Ou_6,Nam_Ou_5,4
Nam_Ou_5,Nam_Pok,5
Nam_Pok,Nam_Ou_4,4
Nam_Ou_4,Nam_Ou_2,21
Nam_Pha,Mekong_at_Xayabuly,82
Nam_Ko,Nam_Ou_2,30
Nam_Ou_2,Nam_Ou_1,6
Nam_Tha_1,Mekong_at_Xayabuly,53
Nam_Ou_1,Mekong_at_Xayabuly,17
Nam_Beng,Mekong_at_Xayabuly,35
Nam_Khan_3_(Down),Nam_Khan_2,6
Nam_Khan_2,Mekong_at_Xayabuly,22
Mekong_at_Xayabuly,Mekong_at_Don_sahong,194
Nam_Ngum_3,Nam_Ngum_2,4
Nam_Pouy_1,Mekong_at_Don_sahong,191
Nam_Ngum_2,Mekong_at_Don_sahong,160
Nam_Ngiep_1,Nam_Ngiep-regulating_dam,7
Nam_Lik_1-2,Nam_Lik_1,6
Nam_Lik_1,Mekong_at_Don_sahong,154
Nam_Ngiep-regulating_dam,Mekong_at_Don_sahong,116
Nam_Poun,Mekong_at_Don_sahong,179
Nam_Theun1,Mekong_at_Don_sahong,108
Theun-Hinboun_exp._(NG8),Theun-Hinboun,3
Theun-Hinboun,Nam_Theun1,7
Ubol_Ratana,Pak_Mun,128
Huai_Kum,Pak_Mun,154
Xeset_1,Xedon_2,5
Xedon_2,Xelabam,14
Xelabam,Mekong_at_Don_sahong,33
Xekaman_3,Xe_Kaman_2B,2
Pak_Mun,Mekong_at_Don_sahong,34
Xe_Kaman_2B,Xe_Kaman_2A,2
Xekaman-Sanxay,Pak_Mun,11
Xe_Kaman_2A,Xekaman_1,9
Xekatam,Xe_Nam_Noy_5,2
Lam_Ta_Khong_P.S.,Pak_Mun,156
Nam_Kong_2,Nam_Kong_1,3
Plei_Krong,Yali,2
Yali,Se_San_3,1
Se_San_3,Se_San_3A,2
Se_San_3A,Se_San_4,3
Se_San_4,Se_San_4A,1
Se_San_4A,Lower_Se_San_2,36
Sre_Pok_4,Lower_Se_San_2,43
Sre_Pok_3,Sre_Pok_4,2
Dray_Hlinh_2,Sre_Pok_3,1
Buon_Kuop,Dray_Hlinh_2,2
Buon_Tua_Srah,Buon_Kuop,1
