zone,tech,year,unit,value
Cambodia,Coal,2020,MW,inf
Cambodia,Coal,2030,MW,inf
Cambodia,Oil,2020,MW,inf
Cambodia,Oil,2030,MW,inf
Cambodia,Gas,2020,MW,inf
Cambodia,Gas,2030,MW,inf
Cambodia,Solar,2020,MW,94242.0
Cambodia,Solar,2030,MW,94242.0
Cambodia,Wind,2020,MW,inf
Cambodia,Wind,2030,MW,inf
Cambodia,Bioenergy,2020,MW,1062.0
Cambodia,Bioenergy,2030,MW,1062.0
Cambodia,HPS,2020,MW,inf
Cambodia,HPS,2030,MW,inf
Cambodia,Li-ion,2020,MW,inf
Cambodia,Li-ion,2030,MW,inf
Laos,Coal,2020,MW,inf
Laos,Coal,2030,MW,inf
Laos,Oil,2020,MW,inf
Laos,Oil,2030,MW,inf
Laos,Gas,2020,MW,inf
Laos,Gas,2030,MW,inf
Laos,Solar,2020,MW,85283.0
Laos,Solar,2030,MW,85283.0
Laos,Wind,2020,MW,inf
Laos,Wind,2030,MW,inf
Laos,Bioenergy,2020,MW,537.0
Laos,Bioenergy,2030,MW,537.0
Laos,HPS,2020,MW,inf
Laos,HPS,2030,MW,inf
Laos,Li-ion,2020,MW,inf
Laos,Li-ion,2030,MW,inf
Myanmar,Coal,2020,MW,inf
Myanmar,Coal,2030,MW,inf
Myanmar,Oil,2020,MW,inf
Myanmar,Oil,2030,MW,inf
Myanmar,Gas,2020,MW,inf
Myanmar,Gas,2030,MW,inf
Myanmar,Solar,2020,MW,94452.0
Myanmar,Solar,2030,MW,94452.0
Myanmar,Wind,2020,MW,inf
Myanmar,Wind,2030,MW,inf
Myanmar,Bioenergy,2020,MW,3664.0
Myanmar,Bioenergy,2030,MW,3664.0
Myanmar,HPS,2020,MW,inf
Myanmar,HPS,2030,MW,inf
Myanmar,Li-ion,2020,MW,inf
Myanmar,Li-ion,2030,MW,inf
Thailand,Coal,2020,MW,inf
Thailand,Coal,2030,MW,inf
Thailand,Oil,2020,MW,inf
Thailand,Oil,2030,MW,inf
Thailand,Gas,2020,MW,inf
Thailand,Gas,2030,MW,inf
Thailand,Solar,2020,MW,106191.0
Thailand,Solar,2030,MW,106191.0
Thailand,Wind,2020,MW,inf
Thailand,Wind,2030,MW,inf
Thailand,Bioenergy,2020,MW,7546.0
Thailand,Bioenergy,2030,MW,7546.0
Thailand,HPS,2020,MW,inf
Thailand,HPS,2030,MW,inf
Thailand,Li-ion,2020,MW,inf
Thailand,Li-ion,2030,MW,inf
Vietnam,Coal,2020,MW,inf
Vietnam,Coal,2030,MW,inf
Vietnam,Oil,2020,MW,inf
Vietnam,Oil,2030,MW,inf
Vietnam,Gas,2020,MW,inf
Vietnam,Gas,2030,MW,inf
Vietnam,Solar,2020,MW,67247.0
Vietnam,Solar,2030,MW,67247.0
Vietnam,Wind,2020,MW,inf
Vietnam,Wind,2030,MW,inf
Vietnam,Bioenergy,2020,MW,5982.0
Vietnam,Bioenergy,2030,MW,5982.0
Vietnam,HPS,2020,MW,inf
Vietnam,HPS,2030,MW,inf
Vietnam,Li-ion,2020,MW,inf
Vietnam,Li-ion,2030,MW,inf
Cambodia,Nam_Ou_7,2020,MW,400.0
Cambodia,Nam_Ou_7,2030,MW,400.0
Laos,Nam_Ou_7,2020,MW,7295.3
Laos,Nam_Ou_7,2030,MW,7295.3
Myanmar,Nam_Ou_7,2020,MW,0.0
Myanmar,Nam_Ou_7,2030,MW,0.0
Thailand,Nam_Ou_7,2020,MW,662.38
Thailand,Nam_Ou_7,2030,MW,662.38
Vietnam,Nam_Ou_7,2020,MW,2281.0
Vietnam,Nam_Ou_7,2030,MW,2281.0
