tech,year,unit,value
Coal,2020,USD/MWh,0.11
Coal,2030,USD/MWh,0.11
Oil,2020,USD/MWh,6.4
Oil,2030,USD/MWh,6.4
Gas,2020,USD/MWh,1.0
Gas,2030,USD/MWh,1.0
Solar,2020,USD/MWh,0.0
Solar,2030,USD/MWh,0.0
Wind,2020,USD/MWh,0.0
Wind,2030,USD/MWh,0.0
Bioenergy,2020,USD/MWh,3.0
Bioenergy,2030,USD/MWh,3.0
HPS,2020,USD/MWh,1.3
HPS,2030,USD/MWh,1.3
Li-ion,2020,USD/MWh,2.3
Li-ion,2030,USD/MWh,2.3
Nam_Ou_7,2020,USD/MWh,0.65
Nam_Ou_7,2030,USD/MWh,0.65
Nam_Ngay,2020,USD/MWh,0.65
Nam_Ngay,2030,USD/MWh,0.65
Nam_Ou_6,2020,USD/MWh,0.65
Nam_Ou_6,2030,USD/MWh,0.65
Nam_Ou_5,2020,USD/MWh,0.65
Nam_Ou_5,2030,USD/MWh,0.65
Nam_Pok,2020,USD/MWh,0.65
Nam_Pok,2030,USD/MWh,0.65
Nam_Ou_4,2020,USD/MWh,0.65
Nam_Ou_4,2030,USD/MWh,0.65
Nam_Pha,2020,USD/MWh,0.65
Nam_Pha,2030,USD/MWh,0.65
Nam_Ko,2020,USD/MWh,0.65
Nam_Ko,2030,USD/MWh,0.65
Nam_Ou_2,2020,USD/MWh,0.65
Nam_Ou_2,2030,USD/MWh,0.65
Nam_Tha_1,2020,USD/MWh,0.65
Nam_Tha_1,2030,USD/MWh,0.65
Nam_Ou_1,2020,USD/MWh,0.65
Nam_Ou_1,2030,USD/MWh,0.65
Nam_Beng,2020,USD/MWh,0.65
Nam_Beng,2030,USD/MWh,0.65
Nam_Khan_3_(Down),2020,USD/MWh,0.65
Nam_Khan_3_(Down),2030,USD/MWh,0.65
Nam_Khan_2,2020,USD/MWh,0.65
Nam_Khan_2,2030,USD/MWh,0.65
Mekong_at_Xayabuly,2020,USD/MWh,0.65
Mekong_at_Xayabuly,2030,USD/MWh,0.65
Nam_Ngum_3,2020,USD/MWh,0.65
Nam_Ngum_3,2030,USD/MWh,0.65
Nam_Pouy_1,2020,USD/MWh,0.65
Nam_Pouy_1,2030,USD/MWh,0.65
Nam_Ngum_2,2020,USD/MWh,0.65
Nam_Ngum_2,2030,USD/MWh,0.65
Nam_Ngiep_1,2020,USD/MWh,0.65
Nam_Ngiep_1,2030,USD/MWh,0.65
Nam_Lik_1-2,2020,USD/MWh,0.65
Nam_Lik_1-2,2030,USD/MWh,0.65
Nam_Ngum_1,2020,USD/MWh,0.65
Nam_Ngum_1,2030,USD/MWh,0.65
Nam_Lik_1,2020,USD/MWh,0.65
Nam_Lik_1,2030,USD/MWh,0.65
Nam_Ngiep-regulating_dam,2020,USD/MWh,0.65
Nam_Ngiep-regulating_dam,2030,USD/MWh,0.65
Nam_Poun,2020,USD/MWh,0.65
Nam_Poun,2030,USD/MWh,0.65
Nam_Theun1,2020,USD/MWh,0.65
Nam_Theun1,2030,USD/MWh,0.65
Theun-Hinboun_exp._(NG8),2020,USD/MWh,0.65
Theun-Hinboun_exp._(NG8),2030,USD/MWh,0.65
Theun-Hinboun,2020,USD/MWh,0.65
Theun-Hinboun,2030,USD/MWh,0.65
Ubol_Ratana,2020,USD/MWh,0.65
Ubol_Ratana,2030,USD/MWh,0.65
Huai_Kum,2020,USD/MWh,0.65
Huai_Kum,2030,USD/MWh,0.65
Xe_Kong_5,2020,USD/MWh,0.65
Xe_Kong_5,2030,USD/MWh,0.65
Xeset_1,2020,USD/MWh,0.65
Xeset_1,2030,USD/MWh,0.65
Xedon_2,2020,USD/MWh,0.65
Xedon_2,2030,USD/MWh,0.65
Xelabam,2020,USD/MWh,0.65
Xelabam,2030,USD/MWh,0.65
Xekaman_3,2020,USD/MWh,0.65
Xekaman_3,2030,USD/MWh,0.65
Pak_Mun,2020,USD/MWh,0.65
Pak_Mun,2030,USD/MWh,0.65
Xe_Kaman_2B,2020,USD/MWh,0.65
Xe_Kaman_2B,2030,USD/MWh,0.65
Xekaman-Sanxay,2020,USD/MWh,0.65
Xekaman-Sanxay,2030,USD/MWh,0.65
Xe_Nam_Noy_5,2020,USD/MWh,0.65
Xe_Nam_Noy_5,2030,USD/MWh,0.65
Xe_Kaman_2A,2020,USD/MWh,0.65
Xe_Kaman_2A,2030,USD/MWh,0.65
Xekatam,2020,USD/MWh,0.65
Xekatam,2030,USD/MWh,0.65
Xekaman_1,2020,USD/MWh,0.65
Xekaman_1,2030,USD/MWh,0.65
Lam_Ta_Khong_P.S.,2020,USD/MWh,0.65
Lam_Ta_Khong_P.S.,2030,USD/MWh,0.65
Nam_Kong_1,2020,USD/MWh,0.65
Nam_Kong_1,2030,USD/MWh,0.65
Nam_Kong_2,2020,USD/MWh,0.65
Nam_Kong_2,2030,USD/MWh,0.65
Plei_Krong,2020,USD/MWh,0.65
Plei_Krong,2030,USD/MWh,0.65
Yali,2020,USD/MWh,0.65
Yali,2030,USD/MWh,0.65
Se_San_3,2020,USD/MWh,0.65
Se_San_3,2030,USD/MWh,0.65
Se_San_3A,2020,USD/MWh,0.65
Se_San_3A,2030,USD/MWh,0.65
Se_San_4,2020,USD/MWh,0.65
Se_San_4,2030,USD/MWh,0.65
Se_San_4A,2020,USD/MWh,0.65
Se_San_4A,2030,USD/MWh,0.65
Mekong_at_Don_sahong,2020,USD/MWh,0.65
Mekong_at_Don_sahong,2030,USD/MWh,0.65
Lower_Se_San_2,2020,USD/MWh,0.65
Lower_Se_San_2,2030,USD/MWh,0.65
Sre_Pok_4,2020,USD/MWh,0.65
Sre_Pok_4,2030,USD/MWh,0.65
Sre_Pok_3,2020,USD/MWh,0.65
Sre_Pok_3,2030,USD/MWh,0.65
Dray_Hlinh_2,2020,USD/MWh,0.65
Dray_Hlinh_2,2030,USD/MWh,0.65
Buon_Kuop,2020,USD/MWh,0.65
Buon_Kuop,2030,USD/MWh,0.65
Buon_Tua_Srah,2020,USD/MWh,0.65
Buon_Tua_Srah,2030,USD/MWh,0.65
