tech,year,unit,value
Coal,2020,USD/MW/year,56600.0
Coal,2030,USD/MW/year,56600.0
Oil,2020,USD/MW/year,8000.0
Oil,2030,USD/MW/year,8000.0
Gas,2020,USD/MW/year,23200.0
Gas,2030,USD/MW/year,23200.0
Hydro,2020,USD/MW/year,37700.0
Hydro,2030,USD/MW/year,37700.0
Solar,2020,USD/MW/year,14400.0
Solar,2030,USD/MW/year,14400.0
Wind,2020,USD/MW/year,40000.0
Wind,2030,USD/MW/year,40000.0
Bioenergy,2020,USD/MW/year,47600.0
Bioenergy,2030,USD/MW/year,47600.0
HPS,2020,USD/MW/year,8000.0
HPS,2030,USD/MW/year,8000.0
Li-ion,2020,USD/MW/year,7600.0
Li-ion,2030,USD/MW/year,7600.0
