tech,year,unit,value
Coal,2020,USD/MW,1710000.0
Coal,2030,USD/MW,1710000.0
Oil,2020,USD/MW,800000.0
Oil,2030,USD/MW,800000.0
Gas,2020,USD/MW,935000.0
Gas,2030,USD/MW,935000.0
Hydro,2020,USD/MW,1765000.0
Hydro,2030,USD/MW,1765000.0
Solar,2020,USD/MW,1595000.0
Solar,2030,USD/MW,985890.566037736
Wind,2020,USD/MW,2025000.0
Wind,2030,USD/MW,1601194.48183042
Bioenergy,2020,USD/MW,2150000.0
Bioenergy,2030,USD/MW,2150000.0
HPS,2020,USD/MW,860000.0
HPS,2030,USD/MW,860000.0
Li-ion,2020,USD/MW,2002000.0
Li-ion,2030,USD/MW,1124147.0790378
