zone1,zone2,unit,value
Cambodia,Cambodia,USD/MW/km,700.7589285714284
Cambodia,Laos,USD/MW/km,700.7589285714284
Cambodia,Myanmar,USD/MW/km,700.7589285714284
Cambodia,Thailand,USD/MW/km,700.7589285714284
Cambodia,Vietnam,USD/MW/km,700.7589285714284
Laos,Cambodia,USD/MW/km,700.7589285714284
Laos,Laos,USD/MW/km,700.7589285714284
Laos,Myanmar,USD/MW/km,700.7589285714284
Laos,Thailand,USD/MW/km,700.7589285714284
Laos,Vietnam,USD/MW/km,700.7589285714284
Myanmar,Cambodia,USD/MW/km,700.7589285714284
Myanmar,Laos,USD/MW/km,700.7589285714284
Myanmar,Myanmar,USD/MW/km,700.7589285714284
Myanmar,Thailand,USD/MW/km,700.7589285714284
Myanmar,Vietnam,USD/MW/km,700.7589285714284
Thailand,Cambodia,USD/MW/km,700.7589285714284
Thailand,Laos,USD/MW/km,700.7589285714284
Thailand,Myanmar,USD/MW/km,700.7589285714284
Thailand,Thailand,USD/MW/km,700.7589285714284
Thailand,Vietnam,USD/MW/km,700.7589285714284
Vietnam,Cambodia,USD/MW/km,700.7589285714284
Vietnam,Laos,USD/MW/km,700.7589285714284
Vietnam,Myanmar,USD/MW/km,700.7589285714284
Vietnam,Thailand,USD/MW/km,700.7589285714284
Vietnam,Vietnam,USD/MW/km,700.7589285714284
