zone1,zone2,unit,value
Cambodia,Cambodia,USD/MWh,7.071428571428571
Cambodia,Laos,USD/MWh,7.071428571428571
Cambodia,Myanmar,USD/MWh,7.071428571428571
Cambodia,Thailand,USD/MWh,7.071428571428571
Cambodia,Vietnam,USD/MWh,7.071428571428571
Laos,Cambodia,USD/MWh,7.071428571428571
Laos,Laos,USD/MWh,7.071428571428571
Laos,Myanmar,USD/MWh,7.071428571428571
Laos,Thailand,USD/MWh,7.071428571428571
Laos,Vietnam,USD/MWh,7.071428571428571
Myanmar,Cambodia,USD/MWh,7.071428571428571
Myanmar,Laos,USD/MWh,7.071428571428571
Myanmar,Myanmar,USD/MWh,7.071428571428571
Myanmar,Thailand,USD/MWh,7.071428571428571
Myanmar,Vietnam,USD/MWh,7.071428571428571
Thailand,Cambodia,USD/MWh,7.071428571428571
Thailand,Laos,USD/MWh,7.071428571428571
Thailand,Myanmar,USD/MWh,7.071428571428571
Thailand,Thailand,USD/MWh,7.071428571428571
Thailand,Vietnam,USD/MWh,7.071428571428571
Vietnam,Cambodia,USD/MWh,7.071428571428571
Vietnam,Laos,USD/MWh,7.071428571428571
Vietnam,Myanmar,USD/MWh,7.071428571428571
Vietnam,Thailand,USD/MWh,7.071428571428571
Vietnam,Vietnam,USD/MWh,7.071428571428571
