upstream_station_id,downstream_station_id,delay
218,441,154
112,119,7
117,119,3
119,127,4
127,132,5
132,134,4
134,162,21
144,206,82
151,162,30
162,175,6
171,206,53
175,206,17
181,206,35
194,195,6
195,206,22
206,441,194
207,212,4
209,441,191
212,441,160
214,224,7
215,219,6
219,441,154
224,441,116
226,441,179
234,441,108
236,237,3
237,234,7
284,358,128
302,358,154
327,331,5
331,343,14
343,441,33
351,365,2
358,441,34
365,374,2
366,358,11
374,389,9
375,367,2
392,358,156
409,404,3
410,415,2
415,416,1
416,419,2
419,428,3
428,430,1
430,448,36
502,448,43
504,502,2
511,504,1
514,511,2
527,514,1
